scenario,item,value,valuation_date,information_as_of,status
cautious,operating_enterprise_value,23128316706.288012,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
cautious,excess_cash,1964677542.034200,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
cautious,financial_assets_after_haircut,3711117722.620000,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
cautious,debt_claim_proxy,-3373607349.981000,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
cautious,minority_claim_proxy,-322500087.560000,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
cautious,convertible_option_book_proxy,-4494798.360000,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
cautious,existing_other_claims,-873696826.440000,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
central,operating_enterprise_value,51080274673.489107,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
central,excess_cash,2621547132.662800,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
central,financial_assets_after_haircut,4218559219.515000,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
central,debt_claim_proxy,-3066915772.710000,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
central,minority_claim_proxy,-241875065.670000,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
central,convertible_option_book_proxy,-4494798.360000,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
central,existing_other_claims,-873696826.440000,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
expansive,operating_enterprise_value,106681478502.615521,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
expansive,excess_cash,3278416723.291400,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
expansive,financial_assets_after_haircut,4726000716.410000,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
expansive,debt_claim_proxy,-3066915772.710000,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
expansive,minority_claim_proxy,-161250043.780000,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
expansive,convertible_option_book_proxy,-4494798.360000,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
expansive,existing_other_claims,-873696826.440000,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
