scenario,year,revenue,growth,ebit_margin,ebit,tax_rate,nopat,wc_balance,wc_change,operating_cash_increase,da,gross_longlived_investment,net_longlived_investment,reinvestment,fcff,discount_factor,pv,valuation_date,information_as_of,status
cautious,1,36307808311.911600,0.060000,0.092450,3356660421.487937,0.210000,2651761732.975470,4719752749.673028,438480933.263028,61654768.831548,274471027.199200,726605998.630552,452134971.431352,952270673.525928,1699491059.449542,1.110000,1531073026.531119,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
cautious,2,38486276810.626296,0.060000,0.090588,3486378417.308719,0.220000,2719375165.500801,5195438816.388543,475686066.715515,65354054.961441,290939288.831152,770202358.548385,479263069.717233,1020303191.394189,1699071974.106611,1.232100,1379004929.881188,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
cautious,3,40795453419.263874,0.060000,0.088725,3619578595.110638,0.230000,2787075518.235191,5711216101.211098,515777284.822554,69275298.259127,308395646.161021,816414500.061288,508018853.900267,1093071436.981949,1694004081.253242,1.367631,1238641184.101006,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
cautious,4,43243180624.419706,0.060000,0.086863,3756211831.946476,0.240000,2854720992.279321,6270183080.473360,558966979.262262,73431816.154675,326899384.930682,865399370.064966,538499985.134283,1170898780.551220,1683822211.728101,1.518070,1109185845.818641,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
cautious,5,45837771461.884889,0.060000,0.085000,3896210574.260216,0.250000,2922157930.695162,6875665719.282733,605482638.809374,77837725.123955,346513348.026523,917323332.268863,570809984.242340,1254130348.175669,1668027582.519492,1.685058,989893184.084500,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
cautious,6,48129660034.979133,0.050000,0.085000,4091021102.973226,0.250000,3068265827.229920,7219449005.246870,343783285.964137,68756657.192827,363839015.427849,868054501.508583,504215486.080734,916755429.237698,2151510397.992222,1.870415,1150285318.036291,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
cautious,7,50054846436.378298,0.040000,0.085000,4254661947.092155,0.250000,3190996460.319117,7508226965.456745,288777960.209875,57755592.041975,378392576.044963,801933584.352780,423541008.307816,770074560.559666,2420921899.759450,2.076160,1166057395.128882,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
cautious,8,51556491829.469647,0.030000,0.085000,4382301805.504920,0.250000,3286726354.128690,7733473774.420447,225246808.963702,45049361.792740,389744353.326312,720106339.806409,330361986.480097,600658157.236540,2686068196.892150,2.304538,1165556161.494954,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
cautious,9,52845404125.206388,0.025000,0.085000,4491859350.642543,0.250000,3368894512.981907,7926810618.780958,193336844.360511,38667368.872102,399487962.159470,683048667.221553,283560705.062083,515564918.294696,2853329594.687211,2.558037,1115437219.645112,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
cautious,10,53902312207.710516,0.020000,0.085000,4581696537.655394,0.250000,3436272403.241545,8085346831.156577,158536212.375619,31707242.475124,407477721.402660,639997499.553568,232519778.150908,422763233.001651,3013509170.239894,2.839421,1061311156.403014,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
