test,parameter,assumption,terminal_growth,per_share,valuation_date,information_as_of,status
wacc_terminal_growth,wacc,0.07,0.01,129.880486,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.07,0.02,138.710784,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.07,0.03,151.721799,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.07,0.04,173.094247,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.08,0.01,108.847674,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.08,0.02,113.685629,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.08,0.03,120.264769,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.08,0.04,129.919871,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.09,0.01,93.003585,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.09,0.02,95.718104,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.09,0.03,99.205163,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.09,0.04,103.928284,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.10,0.01,80.854514,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.10,0.02,82.323679,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.10,0.03,84.109103,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.10,0.04,86.368915,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.11,0.01,71.279209,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.11,0.02,72.018254,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.11,0.03,72.859331,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
wacc_terminal_growth,wacc,0.11,0.04,73.846169,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,wc_ratio,0.10,0.03,100.144910,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,wc_ratio,0.12,0.03,99.205163,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,wc_ratio,0.15,0.03,97.795542,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,wc_ratio,0.18,0.03,96.385922,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,margin,0.085,0.03,83.707272,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,margin,0.10,0.03,99.205163,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,margin,0.115,0.03,114.611879,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,sales_to_capital,2,0.03,89.669898,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,sales_to_capital,3,0.03,99.205163,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,sales_to_capital,4,0.03,103.972795,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,tax_terminal,0.15,0.03,112.855873,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,tax_terminal,0.20,0.03,106.059656,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,tax_terminal,0.25,0.03,99.205163,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,extra_dilution_rate,0,0.03,100.197214,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,extra_dilution_rate,0.01,0.03,99.205163,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,extra_dilution_rate,0.03,0.03,97.278849,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,extra_dilution_rate,0.05,0.03,95.425919,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,investment_recovery,0,0.03,96.394575,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,investment_recovery,0.50,0.03,98.268300,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,investment_recovery,0.75,0.03,99.205163,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,investment_recovery,1,0.03,100.142026,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,cash_other_recovery,0,0.03,98.624808,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,cash_other_recovery,0.50,0.03,99.205163,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,cash_other_recovery,1,0.03,99.785518,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,minority_multiple,1,0.03,99.354017,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,minority_multiple,1.5,0.03,99.205163,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,minority_multiple,3,0.03,98.758602,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,debt_multiple,1,0.03,99.205163,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,debt_multiple,1.10,0.03,98.638934,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
one_at_a_time,debt_multiple,1.20,0.03,98.072706,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
