id,year,kind,key,pdf_id,pdf_page,section,end_section,label,column,printed,value
2021/revenue,2021,flow,revenue,1212886831,90,3、合并利润表,4、母公司利润表,其中：营业收入 七、37,0,"12,574,203,308.96",12574203308.96
2020/revenue,2020,flow,revenue,1212886831,90,3、合并利润表,4、母公司利润表,其中：营业收入 七、37,1,"9,352,629,343.29",9352629343.29
2021/rd_expense,2021,flow,rd_expense,1212886831,90,3、合并利润表,4、母公司利润表,研发费用 七、41,0,"778,430,652.22",778430652.22
2020/rd_expense,2020,flow,rd_expense,1212886831,90,3、合并利润表,4、母公司利润表,研发费用 七、41,1,"567,402,295.09",567402295.09
2021/ar,2021,stock,ar,1212886831,85,1、合并资产负债表,2、母公司资产负债表,应收账款 七、3,0,"1,091,712,074.58",1091712074.58
2020/ar,2020,stock,ar,1212886831,85,1、合并资产负债表,2、母公司资产负债表,应收账款 七、3,1,"867,665,466.90",867665466.90
2021/prepayments,2021,stock,prepayments,1212886831,85,1、合并资产负债表,2、母公司资产负债表,预付款项 七、4,0,"80,964,439.70",80964439.70
2020/prepayments,2020,stock,prepayments,1212886831,85,1、合并资产负债表,2、母公司资产负债表,预付款项 七、4,1,"40,496,142.41",40496142.41
2021/inventory,2021,stock,inventory,1212886831,85,1、合并资产负债表,2、母公司资产负债表,存货 七、6,0,"2,061,256,519.79",2061256519.79
2020/inventory,2020,stock,inventory,1212886831,85,1、合并资产负债表,2、母公司资产负债表,存货 七、6,1,"1,589,292,318.50",1589292318.50
2021/ap,2021,stock,ap,1212886831,86,1、合并资产负债表,2、母公司资产负债表,应付账款 七、19,0,"677,516,674.34",677516674.34
2020/ap,2020,stock,ap,1212886831,86,1、合并资产负债表,2、母公司资产负债表,应付账款 七、19,1,"528,511,517.82",528511517.82
2021/contract_liabilities,2021,stock,contract_liabilities,1212886831,86,1、合并资产负债表,2、母公司资产负债表,合同负债 七、20,0,"28,006,235.28",28006235.28
2020/contract_liabilities,2020,stock,contract_liabilities,1212886831,86,1、合并资产负债表,2、母公司资产负债表,合同负债 七、20,1,"22,646,916.43",22646916.43
2021/ocf,2021,flow,ocf,1212886831,94,5、合并现金流量表,6、母公司现金流量表,经营活动产生的现金流量净额 七、53(1),0,"449,042,613.60",449042613.60
2020/ocf,2020,flow,ocf,1212886831,94,5、合并现金流量表,6、母公司现金流量表,经营活动产生的现金流量净额 七、53(1),1,"187,801,106.38",187801106.38
2021/cash_capex,2021,flow,cash_capex,1212886831,94,5、合并现金流量表,6、母公司现金流量表,"购建固定资产、无形资产和其他长期资产
支付的现金
",0,"207,129,494.05",207129494.05
2020/cash_capex,2020,flow,cash_capex,1212886831,94,5、合并现金流量表,6、母公司现金流量表,"购建固定资产、无形资产和其他长期资产
支付的现金
",1,"30,234,186.94",30234186.94
2021/disposal_cash,2021,flow,disposal_cash,1212886831,94,5、合并现金流量表,6、母公司现金流量表,"处置固定资产、无形资产和其他长期资产
收回的现金净额
",0,"98,975.44",98975.44
2020/disposal_cash,2020,flow,disposal_cash,1212886831,94,5、合并现金流量表,6、母公司现金流量表,"处置固定资产、无形资产和其他长期资产
收回的现金净额
",1,"98,128.15",98128.15
2021/cf_net_income,2021,flow,cf_net_income,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,净利润,0,"1,024,427,226.78",1024427226.78
2020/cf_net_income,2020,flow,cf_net_income,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,净利润,1,"894,869,336.24",894869336.24
2021/cf_asset_impairment,2021,flow,cf_asset_impairment,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,加：资产减值损失,0,"86,616,241.29",86616241.29
2020/cf_asset_impairment,2020,flow,cf_asset_impairment,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,加：资产减值损失,1,"79,447,447.46",79447447.46
2021/cf_credit_impairment,2021,flow,cf_credit_impairment,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,信用减值损失,0,"19,278,655.41",19278655.41
2020/cf_credit_impairment,2020,flow,cf_credit_impairment,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,信用减值损失,1,"21,984,510.60",21984510.60
2021/cf_property_da,2021,flow,cf_property_da,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,投资性房地产折旧,0,"967,495.73",967495.73
2020/cf_property_da,2020,flow,cf_property_da,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,投资性房地产折旧,1,"1,320,024.29",1320024.29
2021/cf_fixed_da,2021,flow,cf_fixed_da,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,固定资产折旧,0,"17,239,042.26",17239042.26
2020/cf_fixed_da,2020,flow,cf_fixed_da,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,固定资产折旧,1,"11,437,519.46",11437519.46
2021/cf_rou_da,2021,flow,cf_rou_da,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,使用权资产折旧,0,"54,040,410.62",54040410.62
2020/cf_rou_da,2020,flow,cf_rou_da,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,使用权资产折旧,1,-,0.00
2021/cf_intangible_da,2021,flow,cf_intangible_da,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,无形资产摊销,0,"1,620,379.31",1620379.31
2020/cf_intangible_da,2020,flow,cf_intangible_da,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,无形资产摊销,1,"1,242,023.94",1242023.94
2021/cf_deferred_da,2021,flow,cf_deferred_da,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,长期待摊费用摊销,0,"4,338,089.51",4338089.51
2020/cf_deferred_da,2020,flow,cf_deferred_da,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,长期待摊费用摊销,1,"2,837,624.67",2837624.67
2021/cf_disposal,2021,flow,cf_disposal,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,处置固定资产的收益,0,"-21,052.11",-21052.11
2020/cf_disposal,2020,flow,cf_disposal,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,处置固定资产的收益,1,"-3,696.21",-3696.21
2021/cf_retirement,2021,flow,cf_retirement,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,固定资产报废损失,0,"640,803.19",640803.19
2020/cf_retirement,2020,flow,cf_retirement,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,固定资产报废损失,1,"1,378,463.78",1378463.78
2021/cf_fair_value,2021,flow,cf_fair_value,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,公允价值变动收益,0,"-42,841,004.98",-42841004.98
2020/cf_fair_value,2020,flow,cf_fair_value,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,公允价值变动收益,1,"-65,473,256.19",-65473256.19
2021/cf_finance,2021,flow,cf_finance,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,财务费用,0,"10,605,638.54",10605638.54
2020/cf_finance,2020,flow,cf_finance,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,财务费用,1,"2,248,226.79",2248226.79
2021/cf_investment,2021,flow,cf_investment,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,投资收益,0,"-258,235,357.01",-258235357.01
2020/cf_investment,2020,flow,cf_investment,1212886831,167,53、现金流量表补充资料,2．现金及现金等价物净变动情况,投资收益,1,"-73,806,211.82",-73806211.82
