period,item,value,unit,status,formula,as_of
2025-06-30,cf_net_income,1166287534.15,CNY,policy_defined,1*2025-06-30/cf_net_income,2026-09-06T00:00:00+00:00
2025-06-30,cf_asset_impairment,237522795.77,CNY,policy_defined,1*2025-06-30/cf_asset_impairment,2026-09-06T00:00:00+00:00
2025-06-30,cf_credit_impairment,40541084.49,CNY,policy_defined,1*2025-06-30/cf_credit_impairment,2026-09-06T00:00:00+00:00
2025-06-30,cf_property_depreciation,448495.08,CNY,policy_defined,1*2025-06-30/cf_property_depreciation,2026-09-06T00:00:00+00:00
2025-06-30,cf_fixed_depreciation,25956666.89,CNY,policy_defined,1*2025-06-30/cf_fixed_depreciation,2026-09-06T00:00:00+00:00
2025-06-30,cf_rou_depreciation,47764842.38,CNY,policy_defined,1*2025-06-30/cf_rou_depreciation,2026-09-06T00:00:00+00:00
2025-06-30,cf_intangible_amortization,2747529.87,CNY,policy_defined,1*2025-06-30/cf_intangible_amortization,2026-09-06T00:00:00+00:00
2025-06-30,cf_deferred_amortization,7048789.17,CNY,policy_defined,1*2025-06-30/cf_deferred_amortization,2026-09-06T00:00:00+00:00
2025-06-30,cf_disposal_loss,-296433.79,CNY,policy_defined,1*2025-06-30/cf_disposal_loss,2026-09-06T00:00:00+00:00
2025-06-30,cf_retirement_loss,744079.30,CNY,policy_defined,1*2025-06-30/cf_retirement_loss,2026-09-06T00:00:00+00:00
2025-06-30,cf_fair_value,-74006252.42,CNY,policy_defined,1*2025-06-30/cf_fair_value,2026-09-06T00:00:00+00:00
2025-06-30,cf_finance,20461699.05,CNY,policy_defined,1*2025-06-30/cf_finance,2026-09-06T00:00:00+00:00
2025-06-30,cf_investment,-154801474.62,CNY,policy_defined,1*2025-06-30/cf_investment,2026-09-06T00:00:00+00:00
2025-06-30,cf_deferred_tax_assets,-113458706.73,CNY,policy_defined,1*2025-06-30/cf_deferred_tax_assets,2026-09-06T00:00:00+00:00
2025-06-30,cf_deferred_tax_liabilities,-133226771.07,CNY,policy_defined,1*2025-06-30/cf_deferred_tax_liabilities,2026-09-06T00:00:00+00:00
2025-06-30,cf_inventory,-2174526974.94,CNY,policy_defined,1*2025-06-30/cf_inventory,2026-09-06T00:00:00+00:00
2025-06-30,cf_receivables,-295803723.39,CNY,policy_defined,1*2025-06-30/cf_receivables,2026-09-06T00:00:00+00:00
2025-06-30,cf_payables,213792437.90,CNY,policy_defined,1*2025-06-30/cf_payables,2026-09-06T00:00:00+00:00
2025-06-30,cf_share_payment,50583432.29,CNY,policy_defined,1*2025-06-30/cf_share_payment,2026-09-06T00:00:00+00:00
2025-06-30,operating_cash_flow,-1132220950.62,CNY,statement_reconciled_not_fcff,sum(signed reconciliation rows)=statement cash_in-cash_out,2026-09-06T00:00:00+00:00
2025-12-31,cf_net_income,2617193921.23,CNY,policy_defined,1*2025-12-31/cf_net_income,2026-09-06T00:00:00+00:00
2025-12-31,cf_asset_impairment,364996905.04,CNY,policy_defined,1*2025-12-31/cf_asset_impairment,2026-09-06T00:00:00+00:00
2025-12-31,cf_credit_impairment,46017003.23,CNY,policy_defined,1*2025-12-31/cf_credit_impairment,2026-09-06T00:00:00+00:00
2025-12-31,cf_property_depreciation,896989.58,CNY,policy_defined,1*2025-12-31/cf_property_depreciation,2026-09-06T00:00:00+00:00
2025-12-31,cf_fixed_depreciation,77319146.51,CNY,policy_defined,1*2025-12-31/cf_fixed_depreciation,2026-09-06T00:00:00+00:00
2025-12-31,cf_rou_depreciation,94344669.16,CNY,policy_defined,1*2025-12-31/cf_rou_depreciation,2026-09-06T00:00:00+00:00
2025-12-31,cf_intangible_amortization,5885643.70,CNY,policy_defined,1*2025-12-31/cf_intangible_amortization,2026-09-06T00:00:00+00:00
2025-12-31,cf_deferred_amortization,20680186.94,CNY,policy_defined,1*2025-12-31/cf_deferred_amortization,2026-09-06T00:00:00+00:00
2025-12-31,cf_disposal_loss,-530824.98,CNY,policy_defined,1*2025-12-31/cf_disposal_loss,2026-09-06T00:00:00+00:00
2025-12-31,cf_retirement_loss,1073250.02,CNY,policy_defined,1*2025-12-31/cf_retirement_loss,2026-09-06T00:00:00+00:00
2025-12-31,cf_fair_value,-139596732.28,CNY,policy_defined,1*2025-12-31/cf_fair_value,2026-09-06T00:00:00+00:00
2025-12-31,cf_finance,52051103.68,CNY,policy_defined,1*2025-12-31/cf_finance,2026-09-06T00:00:00+00:00
2025-12-31,cf_investment,-275717386.48,CNY,policy_defined,1*2025-12-31/cf_investment,2026-09-06T00:00:00+00:00
2025-12-31,cf_deferred_tax_assets,103750598.08,CNY,policy_defined,1*2025-12-31/cf_deferred_tax_assets,2026-09-06T00:00:00+00:00
