period,item,value,unit,status,formula,as_of
2025-06-30,operating_profit,1266951389.89,CNY,policy_defined,1*2025-06-30/operating_profit,2026-09-06T00:00:00+00:00
2025-06-30,interest_expense,20461699.05,CNY,policy_defined,1*2025-06-30/interest_expense,2026-09-06T00:00:00+00:00
2025-06-30,interest_income,-17845980.89,CNY,policy_defined,-1*2025-06-30/interest_income,2026-09-06T00:00:00+00:00
2025-06-30,investment_income,-154801474.62,CNY,policy_defined,-1*2025-06-30/investment_income,2026-09-06T00:00:00+00:00
2025-06-30,forward_realized,75103173.09,CNY,policy_defined,1*2025-06-30/forward_realized,2026-09-06T00:00:00+00:00
2025-06-30,fair_value_income,-74006252.42,CNY,policy_defined,-1*2025-06-30/fair_value_income,2026-09-06T00:00:00+00:00
2025-06-30,fv_forward_asset,-23465229.41,CNY,policy_defined,1*2025-06-30/fv_forward_asset,2026-09-06T00:00:00+00:00
2025-06-30,fv_forward_liability,35174981.63,CNY,policy_defined,1*2025-06-30/fv_forward_liability,2026-09-06T00:00:00+00:00
2025-06-30,disposal_income,-296433.79,CNY,policy_defined,-1*2025-06-30/disposal_income,2026-09-06T00:00:00+00:00
2025-06-30,ebit_financing_and_investment_adjusted,1127275872.53,CNY,policy_defined,sum(component rows),2026-09-06T00:00:00+00:00
2025-06-30,identified_fx_neutral_sensitivity,950776895.99,CNY,sensitivity_not_base,adjusted_ebit+fx_loss-forward_realized-fv_forward_asset-fv_forward_liability,2026-09-06T00:00:00+00:00
2025-06-30,excluding_other_income_sensitivity,1105363422.37,CNY,sensitivity_not_base,adjusted_ebit-other_income,2026-09-06T00:00:00+00:00
2025-12-31,operating_profit,2926092772.69,CNY,policy_defined,1*2025-12-31/operating_profit,2026-09-06T00:00:00+00:00
2025-12-31,interest_expense,52051103.68,CNY,policy_defined,1*2025-12-31/interest_expense,2026-09-06T00:00:00+00:00
2025-12-31,interest_income,-41626910.34,CNY,policy_defined,-1*2025-12-31/interest_income,2026-09-06T00:00:00+00:00
2025-12-31,investment_income,-275717386.48,CNY,policy_defined,-1*2025-12-31/investment_income,2026-09-06T00:00:00+00:00
2025-12-31,forward_realized,116342144.35,CNY,policy_defined,1*2025-12-31/forward_realized,2026-09-06T00:00:00+00:00
2025-12-31,fair_value_income,-139596732.28,CNY,policy_defined,-1*2025-12-31/fair_value_income,2026-09-06T00:00:00+00:00
2025-12-31,fv_forward_asset,-19030338.74,CNY,policy_defined,1*2025-12-31/fv_forward_asset,2026-09-06T00:00:00+00:00
2025-12-31,fv_forward_liability,22945230.61,CNY,policy_defined,1*2025-12-31/fv_forward_liability,2026-09-06T00:00:00+00:00
2025-12-31,disposal_income,-530824.98,CNY,policy_defined,-1*2025-12-31/disposal_income,2026-09-06T00:00:00+00:00
2025-12-31,ebit_financing_and_investment_adjusted,2640929058.51,CNY,policy_defined,sum(component rows),2026-09-06T00:00:00+00:00
2025-12-31,identified_fx_neutral_sensitivity,2431857464.77,CNY,sensitivity_not_base,adjusted_ebit+fx_loss-forward_realized-fv_forward_asset-fv_forward_liability,2026-09-06T00:00:00+00:00
2025-12-31,excluding_other_income_sensitivity,2585488246.72,CNY,sensitivity_not_base,adjusted_ebit-other_income,2026-09-06T00:00:00+00:00
2026-06-30,operating_profit,2089589321.42,CNY,policy_defined,1*2026-06-30/operating_profit,2026-09-06T00:00:00+00:00
