period,item,value,unit,status,formula,as_of
2025-06-30,rou_additions,135396200.07,CNY,disclosed_movement,2025-06-30/detail_rou_additions,2026-09-06T00:00:00+00:00
2025-06-30,rou_disposals,73646558.09,CNY,disclosed_movement,2025-06-30/detail_rou_disposals,2026-09-06T00:00:00+00:00
2025-06-30,rou_depreciation,47764842.38,CNY,disclosed_movement,2025-06-30/detail_rou_depreciation,2026-09-06T00:00:00+00:00
2025-06-30,rou_gross_fx,8097297.35,CNY,disclosed_movement,2025-06-30/detail_rou_gross_fx,2026-09-06T00:00:00+00:00
2025-06-30,rou_dep_disposals,70881950.58,CNY,disclosed_movement,2025-06-30/detail_rou_dep_disposals,2026-09-06T00:00:00+00:00
2025-06-30,rou_dep_fx,3599157.26,CNY,disclosed_movement,2025-06-30/detail_rou_dep_fx,2026-09-06T00:00:00+00:00
2025-06-30,lease_liability_cash_in,0.00,CNY,disclosed_movement,2025-06-30/detail_lease_liability_cash_in,2026-09-06T00:00:00+00:00
2025-06-30,lease_liability_noncash_in,138446814.67,CNY,disclosed_movement,2025-06-30/detail_lease_liability_noncash_in,2026-09-06T00:00:00+00:00
2025-06-30,lease_liability_cash_out,46912506.87,CNY,disclosed_movement,2025-06-30/detail_lease_liability_cash_out,2026-09-06T00:00:00+00:00
2025-06-30,lease_liability_noncash_out,260418.45,CNY,disclosed_movement,2025-06-30/detail_lease_liability_noncash_out,2026-09-06T00:00:00+00:00
2025-06-30,lease_interest,3050614.60,CNY,accrual_not_cash_interest,2025-06-30/lease_interest,2026-09-06T00:00:00+00:00
2025-06-30,cash_capex_plus_rou_additions,298366485.24,CNY,cash_and_noncash_input_not_final_fcff,2025-06-30/cf_capex+2025-06-30/detail_rou_additions,2026-09-06T00:00:00+00:00
2025-12-31,rou_additions,316865131.43,CNY,disclosed_movement,2025-12-31/detail_rou_additions,2026-09-06T00:00:00+00:00
2025-12-31,rou_disposals,97549137.01,CNY,disclosed_movement,2025-12-31/detail_rou_disposals,2026-09-06T00:00:00+00:00
2025-12-31,rou_depreciation,94344669.16,CNY,disclosed_movement,2025-12-31/detail_rou_depreciation,2026-09-06T00:00:00+00:00
2025-12-31,rou_gross_fx,-3916608.52,CNY,disclosed_movement,2025-12-31/detail_rou_gross_fx,2026-09-06T00:00:00+00:00
2025-12-31,rou_dep_disposals,81438915.08,CNY,disclosed_movement,2025-12-31/detail_rou_dep_disposals,2026-09-06T00:00:00+00:00
2025-12-31,rou_dep_fx,-1533708.15,CNY,disclosed_movement,2025-12-31/detail_rou_dep_fx,2026-09-06T00:00:00+00:00
2025-12-31,lease_liability_cash_in,0.00,CNY,disclosed_movement,2025-12-31/detail_lease_liability_cash_in,2026-09-06T00:00:00+00:00
2025-12-31,lease_liability_noncash_in,324035651.65,CNY,disclosed_movement,2025-12-31/detail_lease_liability_noncash_in,2026-09-06T00:00:00+00:00
2025-12-31,lease_liability_cash_out,82362040.61,CNY,disclosed_movement,2025-12-31/detail_lease_liability_cash_out,2026-09-06T00:00:00+00:00
2025-12-31,lease_liability_noncash_out,30483645.32,CNY,disclosed_movement,2025-12-31/detail_lease_liability_noncash_out,2026-09-06T00:00:00+00:00
