period,item,value,unit,status,formula,as_of
2025-06-30,receivables_change,171383003.60,CNY,balance_component_not_cashflow_attribution,2025-06-30/receivables-2024-12-31/receivables,2026-09-06T00:00:00+00:00
2025-06-30,prepayments_change,46423191.39,CNY,balance_component_not_cashflow_attribution,2025-06-30/prepayments-2024-12-31/prepayments,2026-09-06T00:00:00+00:00
2025-06-30,other_receivables_change,17047917.23,CNY,balance_component_not_cashflow_attribution,2025-06-30/other_receivables-2024-12-31/other_receivables,2026-09-06T00:00:00+00:00
2025-06-30,trading_forward_asset_change,-23465229.41,CNY,balance_component_not_cashflow_attribution,2025-06-30/trading_forward_asset-2024-12-31/trading_forward_asset,2026-09-06T00:00:00+00:00
2025-06-30,derivative_assets_change,23246561.81,CNY,balance_component_not_cashflow_attribution,2025-06-30/derivative_assets-2024-12-31/derivative_assets,2026-09-06T00:00:00+00:00
2025-06-30,other_current_assets_ex_deposits_notes_change,-3547563.84,CNY,balance_component_not_cashflow_attribution,2025-06-30/other_current_assets_ex_deposits_notes-2024-12-31/other_current_assets_ex_deposits_notes,2026-09-06T00:00:00+00:00
2025-06-30,ar_charge,29582205.57,CNY,disclosed_allowance_movement,2025-06-30/rec_ar_charge,2026-09-06T00:00:00+00:00
2025-06-30,ar_recovery,4281718.49,CNY,disclosed_allowance_movement,2025-06-30/rec_ar_recovery,2026-09-06T00:00:00+00:00
2025-06-30,ar_writeoff,6698213.21,CNY,disclosed_allowance_movement,2025-06-30/rec_ar_writeoff,2026-09-06T00:00:00+00:00
2025-06-30,ar_fx,379427.26,CNY,disclosed_allowance_movement,2025-06-30/rec_ar_fx,2026-09-06T00:00:00+00:00
2025-06-30,other_charge,15556722.51,CNY,disclosed_allowance_movement,2025-06-30/rec_other_charge,2026-09-06T00:00:00+00:00
2025-06-30,other_recovery,316125.10,CNY,disclosed_allowance_movement,2025-06-30/rec_other_recovery,2026-09-06T00:00:00+00:00
2025-06-30,other_writeoff,0.00,CNY,disclosed_allowance_movement,2025-06-30/rec_other_writeoff,2026-09-06T00:00:00+00:00
2025-06-30,other_fx,388673.42,CNY,disclosed_allowance_movement,2025-06-30/rec_other_fx,2026-09-06T00:00:00+00:00
2025-06-30,receivable_allowance_change,34610971.96,CNY,verified_net_gross_difference_not_cashflow_attribution,sum(ar and other allowance close-open),2026-09-06T00:00:00+00:00
2025-06-30,net_credit_impairment,40541084.49,CNY,statement_reconciled,ar_charge-ar_recovery+other_charge-other_recovery=cf_credit_impairment,2026-09-06T00:00:00+00:00
2025-06-30,forward_asset_change,-218667.60,CNY,balance_component_not_cashflow_attribution,trading_forward_asset_change+derivative_assets_change,2026-09-06T00:00:00+00:00
