period,item,value,unit,status,formula,as_of
2025-06-30,cash_capex,162970285.17,CNY,reported_cash_not_total_reinvestment,2025-06-30/cf_capex,2026-09-06T00:00:00+00:00
2025-06-30,reported_da,83966323.39,CNY,includes_rou_and_investment_property,2025-06-30/cf_property_depreciation+2025-06-30/cf_fixed_depreciation+2025-06-30/cf_rou_depreciation+2025-06-30/cf_intangible_amortization+2025-06-30/cf_deferred_amortization,2026-09-06T00:00:00+00:00
2025-06-30,da_excluding_rou,36201481.01,CNY,component_not_fcff,reported_da-rou_depreciation,2026-09-06T00:00:00+00:00
2025-06-30,lease_payment,46912506.87,CNY,financing_payment_not_capex,2025-06-30/cf_lease_payment,2026-09-06T00:00:00+00:00
2025-06-30,cf_wc_cash_use,2256538260.43,CNY,cashflow_statement_scope,-(cf_inventory+cf_receivables+cf_payables),2026-09-06T00:00:00+00:00
2025-06-30,broad_wc_balance_increase,1639214668.28,CNY,balance_sheet_policy_scope,2025-06-30/noncash_nondebt_wc_broad-2024-12-31/noncash_nondebt_wc_broad,2026-09-06T00:00:00+00:00
2025-06-30,cf_minus_balance_wc,617323592.15,CNY,scope_difference_not_zero,cf_wc_cash_use-broad_wc_balance_increase,2026-09-06T00:00:00+00:00
2025-06-30,inventory_allowance_change,113422404.60,CNY,identified_inventory_net_gross_difference,2025-06-30/cf_inventory_allowance-2024-12-31/cf_inventory_allowance,2026-09-06T00:00:00+00:00
2025-06-30,remaining_wc_scope_difference,503901187.55,CNY,unattributed_not_forced_to_zero,cf_minus_balance_wc-inventory_allowance_change,2026-09-06T00:00:00+00:00
2025-12-31,cash_capex,365120160.05,CNY,reported_cash_not_total_reinvestment,2025-12-31/cf_capex,2026-09-06T00:00:00+00:00
2025-12-31,reported_da,199126635.89,CNY,includes_rou_and_investment_property,2025-12-31/cf_property_depreciation+2025-12-31/cf_fixed_depreciation+2025-12-31/cf_rou_depreciation+2025-12-31/cf_intangible_amortization+2025-12-31/cf_deferred_amortization,2026-09-06T00:00:00+00:00
2025-12-31,da_excluding_rou,104781966.73,CNY,component_not_fcff,reported_da-rou_depreciation,2026-09-06T00:00:00+00:00
2025-12-31,lease_payment,82362040.61,CNY,financing_payment_not_capex,2025-12-31/cf_lease_payment,2026-09-06T00:00:00+00:00
2025-12-31,cf_wc_cash_use,2453200623.66,CNY,cashflow_statement_scope,-(cf_inventory+cf_receivables+cf_payables),2026-09-06T00:00:00+00:00
2025-12-31,broad_wc_balance_increase,1770287601.33,CNY,balance_sheet_policy_scope,2025-12-31/noncash_nondebt_wc_broad-2024-12-31/noncash_nondebt_wc_broad,2026-09-06T00:00:00+00:00
2025-12-31,cf_minus_balance_wc,682913022.33,CNY,scope_difference_not_zero,cf_wc_cash_use-broad_wc_balance_increase,2026-09-06T00:00:00+00:00
2025-12-31,inventory_allowance_change,240896513.87,CNY,identified_inventory_net_gross_difference,2025-12-31/cf_inventory_allowance-2024-12-31/cf_inventory_allowance,2026-09-06T00:00:00+00:00
2025-12-31,remaining_wc_scope_difference,442016508.46,CNY,unattributed_not_forced_to_zero,cf_minus_balance_wc-inventory_allowance_change,2026-09-06T00:00:00+00:00
2026-06-30,cash_capex,117484411.45,CNY,reported_cash_not_total_reinvestment,2026-06-30/cf_capex,2026-09-06T00:00:00+00:00
2026-06-30,reported_da,143774618.82,CNY,includes_rou_and_investment_property,2026-06-30/cf_property_depreciation+2026-06-30/cf_fixed_depreciation+2026-06-30/cf_rou_depreciation+2026-06-30/cf_intangible_amortization+2026-06-30/cf_deferred_amortization,2026-09-06T00:00:00+00:00
2026-06-30,da_excluding_rou,92190755.52,CNY,component_not_fcff,reported_da-rou_depreciation,2026-09-06T00:00:00+00:00
2026-06-30,lease_payment,54949067.26,CNY,financing_payment_not_capex,2026-06-30/cf_lease_payment,2026-09-06T00:00:00+00:00
2026-06-30,cf_wc_cash_use,1266226930.60,CNY,cashflow_statement_scope,-(cf_inventory+cf_receivables+cf_payables),2026-09-06T00:00:00+00:00
2026-06-30,broad_wc_balance_increase,1332312061.40,CNY,balance_sheet_policy_scope,2026-06-30/noncash_nondebt_wc_broad-2025-12-31/noncash_nondebt_wc_broad,2026-09-06T00:00:00+00:00
2026-06-30,cf_minus_balance_wc,-66085130.80,CNY,scope_difference_not_zero,cf_wc_cash_use-broad_wc_balance_increase,2026-09-06T00:00:00+00:00
2026-06-30,inventory_allowance_change,78706063.59,CNY,identified_inventory_net_gross_difference,2026-06-30/cf_inventory_allowance-2025-12-31/cf_inventory_allowance,2026-09-06T00:00:00+00:00
2026-06-30,remaining_wc_scope_difference,-144791194.39,CNY,unattributed_not_forced_to_zero,cf_minus_balance_wc-inventory_allowance_change,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cash_capex,319634286.33,CNY,reported_cash_not_total_reinvestment,2025-12-31/cash_capex+2026-06-30/cash_capex-2025-06-30/cash_capex,2026-09-06T00:00:00+00:00
TTM-2026-06-30,reported_da,258934931.32,CNY,includes_rou_and_investment_property,2025-12-31/reported_da+2026-06-30/reported_da-2025-06-30/reported_da,2026-09-06T00:00:00+00:00
TTM-2026-06-30,da_excluding_rou,160771241.24,CNY,component_not_fcff,2025-12-31/da_excluding_rou+2026-06-30/da_excluding_rou-2025-06-30/da_excluding_rou,2026-09-06T00:00:00+00:00
TTM-2026-06-30,lease_payment,90398601.00,CNY,financing_payment_not_capex,2025-12-31/lease_payment+2026-06-30/lease_payment-2025-06-30/lease_payment,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_wc_cash_use,1462889293.83,CNY,cashflow_statement_scope,2025-12-31/cf_wc_cash_use+2026-06-30/cf_wc_cash_use-2025-06-30/cf_wc_cash_use,2026-09-06T00:00:00+00:00
TTM-2026-06-30,broad_wc_balance_increase,1463384994.45,CNY,balance_sheet_policy_scope,2025-12-31/broad_wc_balance_increase+2026-06-30/broad_wc_balance_increase-2025-06-30/broad_wc_balance_increase,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_minus_balance_wc,-495700.62,CNY,scope_difference_not_zero,2025-12-31/cf_minus_balance_wc+2026-06-30/cf_minus_balance_wc-2025-06-30/cf_minus_balance_wc,2026-09-06T00:00:00+00:00
TTM-2026-06-30,inventory_allowance_change,206180172.86,CNY,identified_inventory_net_gross_difference,2025-12-31/inventory_allowance_change+2026-06-30/inventory_allowance_change-2025-06-30/inventory_allowance_change,2026-09-06T00:00:00+00:00
TTM-2026-06-30,remaining_wc_scope_difference,-206675873.48,CNY,unattributed_not_forced_to_zero,2025-12-31/remaining_wc_scope_difference+2026-06-30/remaining_wc_scope_difference-2025-06-30/remaining_wc_scope_difference,2026-09-06T00:00:00+00:00
FY-2025,valuation_fcff,,CNY,missing_valuation_adjustments,unresolved WC classification/lease reinvestment and tax policy,2026-09-06T00:00:00+00:00
TTM-2026-06-30,valuation_fcff,,CNY,missing_valuation_adjustments,unresolved WC classification/lease reinvestment and tax policy,2026-09-06T00:00:00+00:00
