code,field,period,period_type,unit,pdf_value,pdf_page,pdf_url,pdf_sha256
000975,FN230,2025-12-31,Q4,CNY,2102790187.57,11,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998205.PDF,f233d8ae10ccaf114f2fc7e5cca0989206221bc4b4e1298d9d9127ec096914b9
000975,FN232,2025-12-31,Q4,CNY,512089997.80,11,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998205.PDF,f233d8ae10ccaf114f2fc7e5cca0989206221bc4b4e1298d9d9127ec096914b9
000975,FN233,2025-12-31,Q4,CNY,585626303.90,11,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998205.PDF,f233d8ae10ccaf114f2fc7e5cca0989206221bc4b4e1298d9d9127ec096914b9
000975,FN234,2025-12-31,Q4,CNY,987713236.25,11,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998205.PDF,f233d8ae10ccaf114f2fc7e5cca0989206221bc4b4e1298d9d9127ec096914b9
002213,FN230,2025-12-31,Q4,CNY,343030482.12,9,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002213,FN232,2025-12-31,Q4,CNY,-8095612.68,9,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002213,FN233,2025-12-31,Q4,CNY,-1122800.82,9,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002213,FN234,2025-12-31,Q4,CNY,-140024411.52,9,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002487,FN230,2025-12-31,Q4,CNY,1578184463.15,8,https://static.cninfo.com.cn/finalpage/2026-03-06/1224997956.PDF,be11f9d8a30b23c2b4710120a851f839820242785e50fd6193e44c168e005241
002487,FN232,2025-12-31,Q4,CNY,216030807.19,8,https://static.cninfo.com.cn/finalpage/2026-03-06/1224997956.PDF,be11f9d8a30b23c2b4710120a851f839820242785e50fd6193e44c168e005241
002487,FN233,2025-12-31,Q4,CNY,180885250.72,8,https://static.cninfo.com.cn/finalpage/2026-03-06/1224997956.PDF,be11f9d8a30b23c2b4710120a851f839820242785e50fd6193e44c168e005241
002487,FN234,2025-12-31,Q4,CNY,-282002555.86,8,https://static.cninfo.com.cn/finalpage/2026-03-06/1224997956.PDF,be11f9d8a30b23c2b4710120a851f839820242785e50fd6193e44c168e005241
002920,FN230,2025-12-31,Q4,CNY,10220627011.05,14,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998406.PDF,5c57c31d09f39410f29e77e8ff79aa6e0a4e790ef19807ac7e1c528ef3968142
002920,FN232,2025-12-31,Q4,CNY,665869562.55,14,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998406.PDF,5c57c31d09f39410f29e77e8ff79aa6e0a4e790ef19807ac7e1c528ef3968142
002920,FN233,2025-12-31,Q4,CNY,689739473.95,14,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998406.PDF,5c57c31d09f39410f29e77e8ff79aa6e0a4e790ef19807ac7e1c528ef3968142
002920,FN234,2025-12-31,Q4,CNY,624208875.20,14,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998406.PDF,5c57c31d09f39410f29e77e8ff79aa6e0a4e790ef19807ac7e1c528ef3968142
