code,field,period,item,period_basis,pdf_value,pdf_page,pdf_path,pdf_sha256
300866,FN20,2025-06-30,other_current_assets,instant,2106621936.42,67,../anker-valuation-2026/1224614835.pdf,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674
300866,FN20,2025-12-31,other_current_assets,instant,2749409761.83,108,../anker-valuation-2026/1225090973.pdf,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202
300866,FN20,2026-06-30,other_current_assets,instant,2172490234.68,57,../anker-valuation-2026/1225533054.pdf,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1
300866,FN37,2025-06-30,tax_dta,instant,657316335.33,67,../anker-valuation-2026/1224614835.pdf,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674
300866,FN37,2025-12-31,tax_dta,instant,440107030.52,108,../anker-valuation-2026/1225090973.pdf,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202
300866,FN37,2026-06-30,tax_dta,instant,645927071.35,57,../anker-valuation-2026/1225533054.pdf,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1
300866,FN50,2025-06-30,other_payables,instant,952530840.16,68,../anker-valuation-2026/1224614835.pdf,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674
300866,FN50,2025-12-31,other_payables,instant,917093735.77,109,../anker-valuation-2026/1225090973.pdf,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202
300866,FN50,2026-06-30,other_payables,instant,1269867141.60,58,../anker-valuation-2026/1225533054.pdf,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1
300866,FN53,2025-06-30,other_current_liabilities,instant,366379501.27,68,../anker-valuation-2026/1224614835.pdf,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674
300866,FN53,2025-12-31,other_current_liabilities,instant,347087401.79,109,../anker-valuation-2026/1225090973.pdf,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202
300866,FN53,2026-06-30,other_current_liabilities,instant,317473729.40,58,../anker-valuation-2026/1225533054.pdf,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1
300866,FN60,2025-06-30,tax_dtl,instant,28748586.44,68,../anker-valuation-2026/1224614835.pdf,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674
300866,FN60,2025-12-31,tax_dtl,instant,31743953.19,109,../anker-valuation-2026/1225090973.pdf,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202
300866,FN60,2026-06-30,tax_dtl,instant,52987673.07,58,../anker-valuation-2026/1225533054.pdf,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1
