old_code,new_code,source_name,source_listing_date,switch_date
872931,920931,无锡鼎邦,2024/4/8,2025-10-09
837023,920123,芭薇股份,2024/3/29,2025-10-09
835438,920438,戈碧迦,2024/3/25,2025-10-09
873706,920706,铁拓机械,2024/3/8,2025-10-09
870656,920656,海昇药业,2024/2/2,2025-10-09
831396,920496,许昌智能,2024/1/26,2025-10-09
837403,920403,康农种业,2024/1/18,2025-10-09
873806,920806,云星宇,2024/1/11,2025-10-09
873690,920690,捷众科技,2024/1/5,2025-10-09
871263,920363,莱赛激光,2023/12/28,2025-10-09
836961,920061,西磁科技,2023/12/21,2025-10-09
833284,920284,灵鸽科技,2023/12/19,2025-10-09
831175,920375,派诺科技,2023/12/14,2025-10-09
836547,920547,无锡晶海,2023/12/12,2025-10-09
873703,920703,广厦环能,2023/12/5,2025-10-09
835579,920579,机科股份,2023/11/30,2025-10-09
873570,920570,坤博精工,2023/11/23,2025-10-09
832522,920522,纳科诺尔,2023/11/16,2025-10-09
873132,920132,泰鹏智能,2023/11/16,2025-10-09
873679,920679,前进科技,2023/11/10,2025-10-09
873833,920833,美心翼申,2023/11/8,2025-10-09
833030,920130,立方控股,2023/11/2,2025-10-09
839493,920493,并行科技,2023/11/1,2025-10-09
873693,920693,阿为特,2023/10/27,2025-10-09
873726,920026,卓兆点胶,2023/10/19,2025-10-09
832786,920786,骑士乳业,2023/10/13,2025-10-09
832978,920978,开特股份,2023/9/28,2025-10-09
873665,920665,科强股份,2023/9/26,2025-10-09
832469,920469,富恒新材,2023/9/18,2025-10-09
836419,920519,万德股份,2023/9/15,2025-10-09
831627,920627,力王股份,2023/9/7,2025-10-09
870976,920976,视声智能,2023/9/1,2025-10-09
872953,920953,国子软件,2023/8/23,2025-10-09
837174,920274,宏裕包材,2023/8/18,2025-10-09
836504,920504,博迅生物,2023/8/17,2025-10-09
837748,920748,路桥信息,2023/8/16,2025-10-09
834058,920058,华洋赛车,2023/8/10,2025-10-09
870726,920926,鸿智科技,2023/8/8,2025-10-09
832982,920982,锦波生物,2023/7/20,2025-10-09
838701,920701,豪声电子,2023/7/19,2025-10-09
833751,920751,惠同新材,2023/7/17,2025-10-09
873576,920576,天力复合,2023/7/12,2025-10-09
837592,920592,华信永道,2023/7/10,2025-10-09
836717,920717,瑞星股份,2023/7/3,2025-10-09
832175,920175,东方碳素,2023/6/30,2025-10-09
836208,920208,青矩技术,2023/6/29,2025-10-09
832651,920651,天罡股份,2023/6/27,2025-10-09
833455,920455,汇隆活塞,2023/6/21,2025-10-09
