code,field,period,item,period_basis,pdf_value,pdf_page,pdf_path,pdf_sha256
300866,FN99,2025-06-30,cash_tax_refunds,ytd,758199633.67,74,../anker-valuation-2026/1224614835.pdf,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674
300866,FN99,2025-12-31,cash_tax_refunds,ytd,1367997989.02,115,../anker-valuation-2026/1225090973.pdf,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202
300866,FN99,2026-06-30,cash_tax_refunds,ytd,1446917336.93,64,../anker-valuation-2026/1225533054.pdf,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1
300866,FN104,2025-06-30,cash_taxes_paid,ytd,880267930.22,74,../anker-valuation-2026/1224614835.pdf,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674
300866,FN104,2025-12-31,cash_taxes_paid,ytd,1777763293.59,115,../anker-valuation-2026/1225090973.pdf,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202
300866,FN104,2026-06-30,cash_taxes_paid,ytd,1251351331.22,64,../anker-valuation-2026/1225533054.pdf,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1
300866,FN146,2025-06-30,cf_inventory,ytd,-2174526974.94,148,../anker-valuation-2026/1224614835.pdf,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674
300866,FN146,2025-12-31,cf_inventory,ytd,-2004461350.48,185,../anker-valuation-2026/1225090973.pdf,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202
300866,FN146,2026-06-30,cf_inventory,ytd,-1815371020.88,138,../anker-valuation-2026/1225533054.pdf,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1
300866,FN147,2025-06-30,cf_receivables,ytd,-295803723.39,148,../anker-valuation-2026/1224614835.pdf,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674
300866,FN147,2025-12-31,cf_receivables,ytd,-660609943.23,185,../anker-valuation-2026/1225090973.pdf,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202
300866,FN147,2026-06-30,cf_receivables,ytd,-674162259.27,138,../anker-valuation-2026/1225533054.pdf,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1
300866,FN148,2025-06-30,cf_payables,ytd,213792437.90,148,../anker-valuation-2026/1224614835.pdf,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674
300866,FN148,2025-12-31,cf_payables,ytd,211870670.05,185,../anker-valuation-2026/1225090973.pdf,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202
300866,FN148,2026-06-30,cf_payables,ytd,1223306349.55,138,../anker-valuation-2026/1225533054.pdf,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1
300866,FN304,2025-06-30,rd,ytd,1194561018.90,71,../anker-valuation-2026/1224614835.pdf,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674
300866,FN304,2025-12-31,rd,ytd,2892785453.80,112,../anker-valuation-2026/1225090973.pdf,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202
300866,FN304,2026-06-30,rd,ytd,1869485124.21,61,../anker-valuation-2026/1225533054.pdf,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1
600519,FN104,2025-12-31,tax_cash,ytd,77430597986.28,65,../moutai-valuation-2026/1225114741.pdf,474905deeaf0f875fc0a1b097a626c0c7852c427faadc5d7fc7816cbf45ea288
600519,FN104,2025-06-30,tax_cash,ytd,41669889456.55,32,../moutai-valuation-2026/1224462930.pdf,c80fb7180169469053c396e65315414368bcfa9f1f1d4e3bf793c8fb327e6b0c
600519,FN104,2026-06-30,tax_cash,ytd,42263192495.42,34,../moutai-valuation-2026/1225475868.pdf,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6
600519,FN146,2025-12-31,cf_inventory,ytd,-7084136638.71,115,../moutai-valuation-2026/1225114741.pdf,474905deeaf0f875fc0a1b097a626c0c7852c427faadc5d7fc7816cbf45ea288
600519,FN146,2025-06-30,cf_inventory,ytd,-628446802.13,77,../moutai-valuation-2026/1224462930.pdf,c80fb7180169469053c396e65315414368bcfa9f1f1d4e3bf793c8fb327e6b0c
600519,FN146,2026-06-30,cf_inventory,ytd,110213424.88,81,../moutai-valuation-2026/1225475868.pdf,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6
600519,FN147,2025-12-31,cf_receivables,ytd,-10983881858.27,115,../moutai-valuation-2026/1225114741.pdf,474905deeaf0f875fc0a1b097a626c0c7852c427faadc5d7fc7816cbf45ea288
600519,FN147,2025-06-30,cf_receivables,ytd,-20679149330.03,77,../moutai-valuation-2026/1224462930.pdf,c80fb7180169469053c396e65315414368bcfa9f1f1d4e3bf793c8fb327e6b0c
600519,FN147,2026-06-30,cf_receivables,ytd,26126578660.96,81,../moutai-valuation-2026/1225475868.pdf,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6
600519,FN148,2025-12-31,cf_payables,ytd,-6806428089.04,115,../moutai-valuation-2026/1225114741.pdf,474905deeaf0f875fc0a1b097a626c0c7852c427faadc5d7fc7816cbf45ea288
600519,FN148,2025-06-30,cf_payables,ytd,-13505587402.34,77,../moutai-valuation-2026/1224462930.pdf,c80fb7180169469053c396e65315414368bcfa9f1f1d4e3bf793c8fb327e6b0c
600519,FN148,2026-06-30,cf_payables,ytd,-2915112091.11,81,../moutai-valuation-2026/1225475868.pdf,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6
600519,FN304,2025-12-31,rd,ytd,190112246.58,61,../moutai-valuation-2026/1225114741.pdf,474905deeaf0f875fc0a1b097a626c0c7852c427faadc5d7fc7816cbf45ea288
600519,FN304,2025-06-30,rd,ytd,73901545.96,28,../moutai-valuation-2026/1224462930.pdf,c80fb7180169469053c396e65315414368bcfa9f1f1d4e3bf793c8fb327e6b0c
