code,field,period,period_type,unit,pdf_value,pdf_page,pdf_url,pdf_sha256
002213,FN8,2025-06-30,instant,CNY,226680726.38,45,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN11,2025-06-30,instant,CNY,43433643.68,45,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN17,2025-06-30,instant,CNY,92116675.26,45,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN21,2025-06-30,instant,CNY,416390588.48,45,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN40,2025-06-30,instant,CNY,709145483.87,46,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN41,2025-06-30,instant,CNY,56000000.00,46,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN44,2025-06-30,instant,CNY,28310602.16,46,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN52,2025-06-30,instant,CNY,2416222.91,47,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN54,2025-06-30,instant,CNY,147547845.80,47,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN63,2025-06-30,instant,CNY,152749911.31,47,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN69,2025-06-30,instant,CNY,4914058.35,47,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN72,2025-06-30,instant,CNY,556395572.56,47,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN114,2025-06-30,H1,CNY,2042444.03,54,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN133,2025-06-30,instant,CNY,220519927.37,54,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN136,2025-06-30,H1,CNY,1556400.97,140,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN137,2025-06-30,H1,CNY,882136.02,140,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN138,2025-06-30,H1,CNY,244447.97,140,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN271,2025-06-30,instant,CNY,551481514.21,47,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002920,FN8,2025-09-30,instant,CNY,5249262140.19,6,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN11,2025-09-30,instant,CNY,8617816868.35,6,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN17,2025-09-30,instant,CNY,5003058945.06,6,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN21,2025-09-30,instant,CNY,21414416050.12,6,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN25,2025-09-30,instant,CNY,345462345.91,6,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN40,2025-09-30,instant,CNY,27242299948.98,7,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN41,2025-09-30,instant,CNY,722103864.62,7,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN44,2025-09-30,instant,CNY,4874669765.92,7,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN52,2025-09-30,instant,CNY,485619402.21,7,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN54,2025-09-30,instant,CNY,11777364502.95,7,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN55,2025-09-30,instant,CNY,251320000.00,7,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN63,2025-09-30,instant,CNY,12458677516.83,7,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN69,2025-09-30,instant,CNY,140483773.55,8,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN72,2025-09-30,instant,CNY,14783622432.15,8,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN114,2025-09-30,9M,CNY,1130201435.74,11,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN133,2025-09-30,instant,CNY,5149730931.18,11,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN271,2025-09-30,instant,CNY,14643138658.60,8,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
