scenario,item,value,valuation_date,status,information_as_of
cautious,liquor_enterprise_proxy,784453851042.924708,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,operating_minority_proxy,-29026307861.961759,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,financial_assets_after_haircut,192740517513.835000,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,external_deposits,-25426316668.170000,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,full_finance_book_equity_removed,-11941000000.000000,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,necessary_operating_cash,-5104560271.872900,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,existing_income_tax_payable,-2909272618.860000,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,lease_debt,-243684868.060000,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,residual_financial_minority_allocation,-5443564465.806526,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,owned_finance_equity_value,4871928000.000000,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,liquor_enterprise_proxy,1466464235358.615123,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,operating_minority_proxy,-43409607647.393732,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,financial_assets_after_haircut,203793966582.582500,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,external_deposits,-25426316668.170000,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,full_finance_book_equity_removed,-11941000000.000000,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,necessary_operating_cash,-3403040181.248600,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,existing_income_tax_payable,-2909272618.860000,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,lease_debt,-243684868.060000,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,residual_financial_minority_allocation,-4732418371.352409,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,owned_finance_equity_value,6089910000.000000,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,liquor_enterprise_proxy,2248908832488.300064,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,operating_minority_proxy,-49928382687.015542,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,financial_assets_after_haircut,204810143923.310000,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,external_deposits,-25426316668.170000,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,full_finance_book_equity_removed,-11941000000.000000,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,necessary_operating_cash,-1701520090.624300,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,existing_income_tax_payable,-2909272618.860000,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,lease_debt,-243684868.060000,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,residual_financial_minority_allocation,-3609649811.447184,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,owned_finance_equity_value,7307892000.000000,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
