scenario,year,revenue,growth,ebit_margin,nopat,inventory_balance,inventory_increase,other_wc_balance,other_wc_change,operating_cash_increase,da,gross_longlived_investment,net_longlived_investment,reinvestment,fcff,pv,valuation_date,status,information_as_of
cautious,1,170152009062.430000,0.000000,0.636287,81199125441.890700,61470345179.456187,153136808.156187,-12522179288.960000,3130544822.240000,0.000000,2349791950.510000,2349791950.510000,0.000000,3283681630.396187,77915443811.494513,70832221646.813194,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,2,170152009062.430000,0.000000,0.627215,80041445100.941400,61777231343.001186,306886163.544999,-9391634466.720000,3130544822.240000,0.000000,2349791950.510000,2349791950.510000,0.000000,3437430985.784999,76604014115.156401,63309102574.509423,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,3,170152009062.430000,0.000000,0.618143,78883764759.992100,62239401905.299954,462170562.298768,-6261089644.480000,3130544822.240000,0.000000,2349791950.510000,2349791950.510000,0.000000,3592715384.538768,75291049375.453332,56567279771.189581,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,4,170152009062.430000,0.000000,0.609072,77726084419.042800,62859326686.196701,619924780.896748,-3130544822.240000,3130544822.240000,0.000000,2349791950.510000,2434867955.041215,85076004.531215,3835545607.667963,73890538811.374837,50468232232.343991,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,5,170152009062.430000,0.000000,0.600000,76568404078.093500,63640431910.126604,781105223.929902,0.000000,3130544822.240000,0.000000,2349791950.510000,2520284263.590555,170492313.080555,4082142359.250457,72486261718.843043,45008265530.076214,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,6,170492313080.554860,0.002000,0.600000,76721540886.249687,64429348186.295805,788916276.169201,0.000000,0.000000,10209120.543746,2354491534.411020,2611252957.910336,256761423.499316,1055886820.212262,75665654066.037425,42711289120.745729,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,7,171174282332.877079,0.004000,0.600000,77028427049.794686,65226153625.226698,796805438.930893,0.000000,0.000000,20459077.569667,2363909500.548664,2708312156.602413,344402656.053749,1161667172.554308,75866759877.240377,38931643734.865557,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,8,172201328026.874342,0.006000,0.600000,77490597612.093454,66030927118.546900,804773493.320202,0.000000,0.000000,30811370.819918,2378092957.551956,2812040304.179679,433947346.627723,1269532210.767843,76221065401.325611,35557689537.167163,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,9,173578938651.089337,0.008000,0.600000,78110522392.990201,66843748346.800304,812821228.253404,0.000000,0.000000,41328318.726450,2397117701.212372,2835404521.306372,438286820.094001,1292436367.073854,76818086025.916347,32578367331.523788,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
cautious,10,175314728037.600230,0.010000,0.600000,78891627616.920104,67664697787.336242,820949440.535938,0.000000,0.000000,52073681.595327,2421088878.224495,2863758566.519436,442669688.294941,1315692810.426205,77575934806.493898,29908881085.866563,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,1,177026150228.552172,0.040400,0.646287,85807266236.457226,64029192475.163763,2711984103.863763,-14798336834.519506,854387276.680494,137482823.322443,2444723545.310604,3932881839.428712,1488158294.118108,5192012497.984809,80615253738.472416,74643753461.548534,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,2,184178006697.785680,0.040400,0.647215,89402104410.600203,66523960749.846553,2494768274.682789,-13849367315.697891,948969518.821614,143037129.384670,2543490376.541152,4091770265.741632,1548279889.200480,5135054812.089554,84267049598.510649,72245412893.098979,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,3,191618798168.376221,0.040400,0.648143,93147354321.553437,68773266607.311103,2249305857.464551,-12799567806.307661,1049799509.390230,148815829.411811,2646247387.753415,4257077784.477594,1610830396.724179,5058751592.990771,88088602728.562666,69927572912.350335,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,4,199360197614.378621,0.040400,0.649072,97049301886.576886,70750842003.429389,1977575396.118286,-11642340113.200711,1157227693.106950,154827988.920048,2753155782.218653,4259813617.698521,1506657835.479868,4796288913.625152,92253012972.951734,67808718545.538021,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,5,207414349597.999517,0.040400,0.650000,101114495429.024764,72432897993.177573,1682055989.748184,-10370717479.899976,1271622633.300735,161083039.672418,2864383275.820287,4250365650.644058,1385982374.823772,4500744037.545109,96613751391.479655,65753695799.437442,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,6,214947638775.398859,0.036320,0.650000,104786973903.006944,74148595102.720721,1715697109.543148,-10747381938.769943,-376664458.869967,150665783.547987,2968417676.398079,4218032041.656163,1249614365.258084,2739312799.479252,102047661103.527692,64307336521.903571,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,7,221877550649.517718,0.032240,0.650000,108165305941.639888,75898606154.454732,1750011051.734011,-11093877532.475886,-346495593.705943,138598237.482377,3064119462.285153,4162772460.128645,1098652997.843492,2640766693.353937,105524539248.285951,61572555115.836948,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,8,228125622475.808137,0.028160,0.650000,111211240956.956467,77683617427.223423,1785011272.768691,-11406281123.790407,-312403591.314521,124961436.525808,3150405066.343103,4084880616.203206,934475549.860102,2532044667.840081,108679196289.116386,58715988147.692197,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,9,233618887465.025597,0.024080,0.650000,113889207639.199979,79504328925.447488,1820711498.224065,-11680944373.251280,-274663249.460873,109865299.784349,3226266820.340645,4179431881.197950,953165060.857304,2609078609.404846,111280129029.795133,55667769609.410529,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
central,10,238291265214.326109,0.020000,0.650000,116166991791.983978,81361454653.636035,1857125728.188546,-11914563260.716305,-233618887.465026,93447554.986010,3290792156.747458,4263020518.821909,972228362.074451,2689182757.783981,113477809034.199997,52562182186.758817,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
