test,parameter,assumption,terminal_growth,per_share,valuation_date,status,information_as_of
wacc_growth,wacc,0.06,0.01,1619.696954,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
wacc_growth,wacc,0.06,0.02,1835.611504,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
wacc_growth,wacc,0.06,0.03,2191.334736,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
wacc_growth,wacc,0.07,0.01,1366.423294,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
wacc_growth,wacc,0.07,0.02,1494.830166,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
wacc_growth,wacc,0.07,0.03,1684.616388,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
wacc_growth,wacc,0.08,0.01,1185.608070,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
wacc_growth,wacc,0.08,0.02,1267.343484,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
wacc_growth,wacc,0.08,0.03,1379.713732,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
wacc_growth,wacc,0.09,0.01,1050.082815,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
wacc_growth,wacc,0.09,0.02,1104.633599,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
wacc_growth,wacc,0.09,0.03,1175.802513,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
wacc_growth,wacc,0.10,0.01,944.752956,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
wacc_growth,wacc,0.10,0.02,982.437400,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
wacc_growth,wacc,0.10,0.03,1029.663863,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
one_at_a_time,inventory_ratio,0.30,0.02,1269.138162,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
one_at_a_time,inventory_ratio,0.36,0.02,1267.343484,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
one_at_a_time,inventory_ratio,0.45,0.02,1264.651467,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
one_at_a_time,inventory_ratio,0.60,0.02,1260.164772,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
one_at_a_time,long_capital_ratio,0.10,0.02,1270.796056,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
one_at_a_time,long_capital_ratio,0.20,0.02,1267.343484,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
one_at_a_time,long_capital_ratio,0.30,0.02,1263.890912,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
one_at_a_time,other_wc_ratio,-0.08,0.02,1271.553787,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
one_at_a_time,other_wc_ratio,-0.05,0.02,1267.343484,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
one_at_a_time,other_wc_ratio,0,0.02,1260.326312,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
one_at_a_time,finance_pb,0,0.02,1262.471874,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
one_at_a_time,finance_pb,0.8,0.02,1266.369162,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
one_at_a_time,finance_pb,1,0.02,1267.343484,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
one_at_a_time,finance_pb,1.2,0.02,1268.317806,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
