code,field,period,period_type,unit,pdf_value,pdf_page,pdf_url,pdf_sha256
002213,FN230,2025-03-31,Q1,CNY,337375108.13,2,https://static.cninfo.com.cn/finalpage/2025-04-25/1223266315.PDF,fcab0c2c2fee47dac6a83bff99f6680c06a9202ecf9421d885b51c700f51461a
002213,FN232,2025-03-31,Q1,CNY,-1889690.22,2,https://static.cninfo.com.cn/finalpage/2025-04-25/1223266315.PDF,fcab0c2c2fee47dac6a83bff99f6680c06a9202ecf9421d885b51c700f51461a
002213,FN233,2025-03-31,Q1,CNY,-2409276.65,2,https://static.cninfo.com.cn/finalpage/2025-04-25/1223266315.PDF,fcab0c2c2fee47dac6a83bff99f6680c06a9202ecf9421d885b51c700f51461a
002213,FN234,2025-03-31,Q1,CNY,-70670244.41,2,https://static.cninfo.com.cn/finalpage/2025-04-25/1223266315.PDF,fcab0c2c2fee47dac6a83bff99f6680c06a9202ecf9421d885b51c700f51461a
002213,FN230,2025-06-30,H1,CNY,659216741.99,8,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN232,2025-06-30,H1,CNY,-11682187.10,8,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN233,2025-06-30,H1,CNY,-6684543.75,8,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN234,2025-06-30,H1,CNY,-65954478.52,8,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2
002213,FN230,2025-09-30,9M,CNY,879325674.79,2,https://static.cninfo.com.cn/finalpage/2025-10-24/1224729213.PDF,434b949002705c28343ed8089e6b5baf823671854948990b29299b2413db61f5
002213,FN232,2025-09-30,9M,CNY,-7526169.30,2,https://static.cninfo.com.cn/finalpage/2025-10-24/1224729213.PDF,434b949002705c28343ed8089e6b5baf823671854948990b29299b2413db61f5
002213,FN233,2025-09-30,9M,CNY,-8247936.24,2,https://static.cninfo.com.cn/finalpage/2025-10-24/1224729213.PDF,434b949002705c28343ed8089e6b5baf823671854948990b29299b2413db61f5
002213,FN234,2025-09-30,9M,CNY,-39841040.12,2,https://static.cninfo.com.cn/finalpage/2025-10-24/1224729213.PDF,434b949002705c28343ed8089e6b5baf823671854948990b29299b2413db61f5
002920,FN230,2025-03-31,Q1,CNY,6791962528.76,2,https://static.cninfo.com.cn/finalpage/2025-04-24/1223238126.PDF,3f3ac523416de60db78dc8bb1b2c1dfd608d125fe041b697501e852f4227b4ac
002920,FN232,2025-03-31,Q1,CNY,582248536.62,2,https://static.cninfo.com.cn/finalpage/2025-04-24/1223238126.PDF,3f3ac523416de60db78dc8bb1b2c1dfd608d125fe041b697501e852f4227b4ac
002920,FN233,2025-03-31,Q1,CNY,496814224.53,2,https://static.cninfo.com.cn/finalpage/2025-04-24/1223238126.PDF,3f3ac523416de60db78dc8bb1b2c1dfd608d125fe041b697501e852f4227b4ac
002920,FN234,2025-03-31,Q1,CNY,606517480.64,2,https://static.cninfo.com.cn/finalpage/2025-04-24/1223238126.PDF,3f3ac523416de60db78dc8bb1b2c1dfd608d125fe041b697501e852f4227b4ac
002920,FN230,2025-06-30,H1,CNY,14644226208.89,8,https://static.cninfo.com.cn/finalpage/2025-08-12/1224445080.PDF,0eaddd5c1d1675aed98ef06d5bf2b69f35ed84ea3acecfd26d22d769fc89c9a5
002920,FN232,2025-06-30,H1,CNY,1222559053.24,8,https://static.cninfo.com.cn/finalpage/2025-08-12/1224445080.PDF,0eaddd5c1d1675aed98ef06d5bf2b69f35ed84ea3acecfd26d22d769fc89c9a5
002920,FN233,2025-06-30,H1,CNY,1152484275.08,8,https://static.cninfo.com.cn/finalpage/2025-08-12/1224445080.PDF,0eaddd5c1d1675aed98ef06d5bf2b69f35ed84ea3acecfd26d22d769fc89c9a5
002920,FN234,2025-06-30,H1,CNY,1637555703.43,8,https://static.cninfo.com.cn/finalpage/2025-08-12/1224445080.PDF,0eaddd5c1d1675aed98ef06d5bf2b69f35ed84ea3acecfd26d22d769fc89c9a5
002920,FN230,2025-09-30,9M,CNY,22336551337.32,2,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN232,2025-09-30,9M,CNY,1787715205.20,2,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN233,2025-09-30,9M,CNY,1723820594.80,2,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
002920,FN234,2025-09-30,9M,CNY,2259552303.53,2,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573
