code,field,period,period_type,unit,pdf_value,pdf_page,pdf_url,pdf_sha256
002213,FN230,2025-03-31,Q1,CNY,337375108.13,9,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002213,FN232,2025-03-31,Q1,CNY,-1889690.22,9,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002213,FN233,2025-03-31,Q1,CNY,-2409276.65,9,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002213,FN234,2025-03-31,Q1,CNY,-70670244.41,9,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002213,FN230,2025-06-30,Q2,CNY,321841633.86,9,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002213,FN232,2025-06-30,Q2,CNY,-9792496.88,9,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002213,FN233,2025-06-30,Q2,CNY,-4275267.10,9,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002213,FN234,2025-06-30,Q2,CNY,4715765.89,9,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002213,FN230,2025-09-30,Q3,CNY,220108932.80,9,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002213,FN232,2025-09-30,Q3,CNY,4156017.80,9,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002213,FN233,2025-09-30,Q3,CNY,-1563392.49,9,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002213,FN234,2025-09-30,Q3,CNY,26113438.40,9,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002920,FN230,2025-03-31,Q1,CNY,6791962528.76,14,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998406.PDF,5c57c31d09f39410f29e77e8ff79aa6e0a4e790ef19807ac7e1c528ef3968142
002920,FN232,2025-03-31,Q1,CNY,582248536.62,14,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998406.PDF,5c57c31d09f39410f29e77e8ff79aa6e0a4e790ef19807ac7e1c528ef3968142
002920,FN233,2025-03-31,Q1,CNY,496814224.53,14,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998406.PDF,5c57c31d09f39410f29e77e8ff79aa6e0a4e790ef19807ac7e1c528ef3968142
002920,FN234,2025-03-31,Q1,CNY,606517480.64,14,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998406.PDF,5c57c31d09f39410f29e77e8ff79aa6e0a4e790ef19807ac7e1c528ef3968142
002920,FN230,2025-06-30,Q2,CNY,7852263680.13,14,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998406.PDF,5c57c31d09f39410f29e77e8ff79aa6e0a4e790ef19807ac7e1c528ef3968142
002920,FN232,2025-06-30,Q2,CNY,640310516.62,14,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998406.PDF,5c57c31d09f39410f29e77e8ff79aa6e0a4e790ef19807ac7e1c528ef3968142
002920,FN233,2025-06-30,Q2,CNY,655670050.55,14,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998406.PDF,5c57c31d09f39410f29e77e8ff79aa6e0a4e790ef19807ac7e1c528ef3968142
002920,FN234,2025-06-30,Q2,CNY,1031038222.79,14,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998406.PDF,5c57c31d09f39410f29e77e8ff79aa6e0a4e790ef19807ac7e1c528ef3968142
002920,FN230,2025-09-30,Q3,CNY,7692325128.43,14,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998406.PDF,5c57c31d09f39410f29e77e8ff79aa6e0a4e790ef19807ac7e1c528ef3968142
002920,FN232,2025-09-30,Q3,CNY,565156151.96,14,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998406.PDF,5c57c31d09f39410f29e77e8ff79aa6e0a4e790ef19807ac7e1c528ef3968142
002920,FN233,2025-09-30,Q3,CNY,571336319.72,14,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998406.PDF,5c57c31d09f39410f29e77e8ff79aa6e0a4e790ef19807ac7e1c528ef3968142
002920,FN234,2025-09-30,Q3,CNY,621996600.10,14,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998406.PDF,5c57c31d09f39410f29e77e8ff79aa6e0a4e790ef19807ac7e1c528ef3968142
