code,period,item,pdf_value
600519,2025-12-31,financial_interest_income,3216069376.12
600519,2026-06-30,financial_interest_income,1574811118.73
600519,2025-06-30,financial_interest_income,1704408137.13
600519,2025-12-31,financial_interest_expense,175775959.12
600519,2026-06-30,financial_interest_expense,76587662.57
600519,2025-06-30,financial_interest_expense,91606314.10
600519,2025-12-31,financial_fees,103597.22
600519,2026-06-30,financial_fees,183088.17
600519,2025-06-30,financial_fees,42669.36
600519,2025-12-31,credit_impairment,17234379.37
600519,2026-06-30,credit_impairment,32473761.91
600519,2025-06-30,credit_impairment,4312358.58
600519,2026-06-30,notes_receivable,2475749125.89
600519,2026-06-30,contract_liabilities,3177561597.07
600519,2026-06-30,income_tax_payable,2909272618.86
600519,2026-06-30,interbank_assets,141084158124.01
600519,2026-06-30,reverse_repo,406491272.08
600519,2026-06-30,loans,416287173.92
600519,2026-06-30,debt_investments,1106707304.24
600519,2026-06-30,other_debt_investments,2414885261.51
600519,2026-06-30,funds,3917510576.37
600519,2026-06-30,deposits_liability,25426316668.17
600519,2026-06-30,finance_equity,11941000000.00
600519,2025-12-31,finance_net_income,1156000000.00
600519,2026-06-30,finance_net_income,468000000.00
600519,2025-06-30,finance_net_income,634000000.00
300866,2025-12-31,forward_realized,116342144.35
300866,2026-06-30,forward_realized,-53469637.17
300866,2025-06-30,forward_realized,75103173.09
300866,2025-12-31,fv_forward_asset,-19030338.74
300866,2026-06-30,fv_forward_asset,-18295304.62
300866,2025-06-30,fv_forward_asset,-23465229.41
300866,2025-12-31,fv_forward_liability,22945230.61
300866,2026-06-30,fv_forward_liability,18618841.41
300866,2025-06-30,fv_forward_liability,35174981.63
300866,2026-06-30,trading_assets,2283072248.41
300866,2026-06-30,trading_forward_asset,1890858.07
300866,2026-06-30,deposits,1214315026.71
300866,2026-06-30,loan_receivable,12720528.54
300866,2026-06-30,loan_allowance,3816158.56
300866,2026-06-30,dividends_receivable,0.00
300866,2026-06-30,income_tax_payable,547192904.15
300866,2026-06-30,ipo_prepaid,41461101.58
300866,2026-06-30,repurchase_payable,49124989.54
300866,2026-06-30,capex_payable,43711357.63
300866,2026-06-30,ipo_payable,14743520.00
300866,2025-12-31,cf_property_depreciation,896989.58
300866,2026-06-30,cf_property_depreciation,448495.08
300866,2025-06-30,cf_property_depreciation,448495.08
300866,2026-06-30,extra_restricted_cash,182757358.11
300866,2026-06-30,extra_current_financial_debt,1454725462.49
300866,2026-06-30,extra_noncurrent_financial_debt,27194239.63
300866,2026-06-30,extra_current_financial_equity,826455927.85
300866,2026-06-30,extra_noncurrent_financial_equity,638315255.45
300866,2026-06-30,current_loans,139041423.46
300866,2026-06-30,current_bonds,181516.69
300866,2026-06-30,current_leases,94283517.90
300866,2026-06-30,extra_provisions,218924055.12
300866,2026-06-30,extra_convertible_equity_book,4494798.36
300866,2026-06-30,extra_conversion_price,108.86
300866,2026-06-30,convertible_face,1104660800.00
