code,period,item,value,unit,period_basis,route,field,scope,reason,pdf_value,pdf_locator,pdf_sha256,announcement_id,available_at,information_as_of,tdx_source,tdx_probe,tdx_probe_sha256
600519,2025-12-31,financial_interest_income,3216069375.0000000000,CNY,ytd,tdx_standard,FN506,provider_default,reviewed_direct_field,3216069376.12,moutai/1225114741.pdf#page=61,474905deeaf0f875fc0a1b097a626c0c7852c427faadc5d7fc7816cbf45ea288,1225114741,2026-04-17 16:00:00+00,2026-09-06T00:00:00+00:00,39cdb919483b892674c9624cb03946ddb03f10faf83d3368384505c356fb336f/1225114741,FN506*10000,39cdb919483b892674c9624cb03946ddb03f10faf83d3368384505c356fb336f
600519,2026-06-30,financial_interest_income,1574811093.7500000000,CNY,ytd,tdx_standard,FN506,provider_default,reviewed_direct_field,1574811118.73,moutai/1225475868.pdf#page=30,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6,1225475868,2026-08-15 16:00:00+00,2026-09-06T00:00:00+00:00,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c/1225475868,FN506*10000,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
600519,2025-06-30,financial_interest_income,1704408125.0000000000,CNY,ytd,tdx_standard,FN506,provider_default,reviewed_direct_field,1704408137.13,moutai/1224462930.pdf#page=28,c80fb7180169469053c396e65315414368bcfa9f1f1d4e3bf793c8fb327e6b0c,1224462930,2025-08-13 16:00:00+00,2026-09-06T00:00:00+00:00,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb/1224462930,FN506*10000,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb
600519,2025-12-31,financial_interest_expense,175775996.0937500000,CNY,ytd,tdx_standard,FN509,provider_default,reviewed_direct_field,175775959.12,moutai/1225114741.pdf#page=61,474905deeaf0f875fc0a1b097a626c0c7852c427faadc5d7fc7816cbf45ea288,1225114741,2026-04-17 16:00:00+00,2026-09-06T00:00:00+00:00,39cdb919483b892674c9624cb03946ddb03f10faf83d3368384505c356fb336f/1225114741,FN509*10000,39cdb919483b892674c9624cb03946ddb03f10faf83d3368384505c356fb336f
600519,2026-06-30,financial_interest_expense,76587700.1953125000,CNY,ytd,tdx_standard,FN509,provider_default,reviewed_direct_field,76587662.57,moutai/1225475868.pdf#page=30,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6,1225475868,2026-08-15 16:00:00+00,2026-09-06T00:00:00+00:00,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c/1225475868,FN509*10000,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
600519,2025-06-30,financial_interest_expense,91606298.8281250000,CNY,ytd,tdx_standard,FN509,provider_default,reviewed_direct_field,91606314.10,moutai/1224462930.pdf#page=28,c80fb7180169469053c396e65315414368bcfa9f1f1d4e3bf793c8fb327e6b0c,1224462930,2025-08-13 16:00:00+00,2026-09-06T00:00:00+00:00,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb/1224462930,FN509*10000,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb
600519,2025-12-31,financial_fees,103599.9965667725,CNY,ytd,tdx_standard,FN510,provider_default,reviewed_direct_field,103597.22,moutai/1225114741.pdf#page=61,474905deeaf0f875fc0a1b097a626c0c7852c427faadc5d7fc7816cbf45ea288,1225114741,2026-04-17 16:00:00+00,2026-09-06T00:00:00+00:00,39cdb919483b892674c9624cb03946ddb03f10faf83d3368384505c356fb336f/1225114741,FN510*10000,39cdb919483b892674c9624cb03946ddb03f10faf83d3368384505c356fb336f
600519,2026-06-30,financial_fees,183099.9946594238,CNY,ytd,tdx_standard,FN510,provider_default,reviewed_direct_field,183088.17,moutai/1225475868.pdf#page=30,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6,1225475868,2026-08-15 16:00:00+00,2026-09-06T00:00:00+00:00,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c/1225475868,FN510*10000,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
600519,2025-06-30,financial_fees,42699.9998092651,CNY,ytd,tdx_standard,FN510,provider_default,reviewed_direct_field,42669.36,moutai/1224462930.pdf#page=28,c80fb7180169469053c396e65315414368bcfa9f1f1d4e3bf793c8fb327e6b0c,1224462930,2025-08-13 16:00:00+00,2026-09-06T00:00:00+00:00,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb/1224462930,FN510*10000,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb
600519,2025-12-31,credit_impairment,17234399.4140625000,CNY,ytd,tdx_standard,FN520,provider_default,reviewed_direct_field,17234379.37,moutai/1225114741.pdf#page=61,474905deeaf0f875fc0a1b097a626c0c7852c427faadc5d7fc7816cbf45ea288,1225114741,2026-04-17 16:00:00+00,2026-09-06T00:00:00+00:00,39cdb919483b892674c9624cb03946ddb03f10faf83d3368384505c356fb336f/1225114741,FN520*10000,39cdb919483b892674c9624cb03946ddb03f10faf83d3368384505c356fb336f
600519,2026-06-30,credit_impairment,32473798.8281250000,CNY,ytd,tdx_standard,FN520,provider_default,reviewed_direct_field,32473761.91,moutai/1225475868.pdf#page=31,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6,1225475868,2026-08-15 16:00:00+00,2026-09-06T00:00:00+00:00,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c/1225475868,FN520*10000,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
600519,2025-06-30,credit_impairment,4312399.9023437500,CNY,ytd,tdx_standard,FN520,provider_default,reviewed_direct_field,4312358.58,moutai/1224462930.pdf#page=29,c80fb7180169469053c396e65315414368bcfa9f1f1d4e3bf793c8fb327e6b0c,1224462930,2025-08-13 16:00:00+00,2026-09-06T00:00:00+00:00,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb/1224462930,FN520*10000,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb
600519,2026-06-30,notes_receivable,2475749062.5000000000,CNY,instant,tdx_standard,FN437,provider_default,reviewed_direct_field,2475749125.89,moutai/1225475868.pdf#page=26,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6,1225475868,2026-08-15 16:00:00+00,2026-09-06T00:00:00+00:00,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c/1225475868,FN437*10000,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
600519,2026-06-30,contract_liabilities,3177561562.5000000000,CNY,instant,tdx_standard,FN434,provider_default,reviewed_direct_field,3177561597.07,moutai/1225475868.pdf#page=27,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6,1225475868,2026-08-15 16:00:00+00,2026-09-06T00:00:00+00:00,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c/1225475868,FN434*10000,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
600519,2026-06-30,income_tax_payable,2909272618.86,CNY,instant,cninfo_note,,consolidated_note_component,income_tax_component_not_all_taxes,2909272618.86,moutai/1225475868.pdf#page=70,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6,1225475868,2026-08-15 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
600519,2026-06-30,interbank_assets,141084160000.0000000000,CNY,instant,tdx_standard,FN403,provider_default,reviewed_direct_field,141084158124.01,moutai/1225475868.pdf#page=26,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6,1225475868,2026-08-15 16:00:00+00,2026-09-06T00:00:00+00:00,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c/1225475868,FN403*10000,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
600519,2026-06-30,reverse_repo,406491289.0625000000,CNY,instant,tdx_standard,FN409,provider_default,reviewed_direct_field,406491272.08,moutai/1225475868.pdf#page=26,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6,1225475868,2026-08-15 16:00:00+00,2026-09-06T00:00:00+00:00,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c/1225475868,FN409*10000,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
600519,2026-06-30,loans,416287187.5000000000,CNY,instant,tdx_standard,FN411,provider_default,reviewed_direct_field,416287173.92,moutai/1225475868.pdf#page=26,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6,1225475868,2026-08-15 16:00:00+00,2026-09-06T00:00:00+00:00,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c/1225475868,FN411*10000,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
600519,2026-06-30,debt_investments,1106707265.6250000000,CNY,instant,tdx_standard,FN430,provider_default,reviewed_direct_field,1106707304.24,moutai/1225475868.pdf#page=26,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6,1225475868,2026-08-15 16:00:00+00,2026-09-06T00:00:00+00:00,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c/1225475868,FN430*10000,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
600519,2026-06-30,other_debt_investments,2414885312.5000000000,CNY,instant,tdx_standard,FN431,provider_default,reviewed_direct_field,2414885261.51,moutai/1225475868.pdf#page=26,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6,1225475868,2026-08-15 16:00:00+00,2026-09-06T00:00:00+00:00,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c/1225475868,FN431*10000,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
600519,2026-06-30,funds,3917510625.0000000000,CNY,instant,tdx_standard,FN433,provider_default,reviewed_direct_field,3917510576.37,moutai/1225475868.pdf#page=26,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6,1225475868,2026-08-15 16:00:00+00,2026-09-06T00:00:00+00:00,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c/1225475868,FN433*10000,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
