code,field,period,period_type,unit,pdf_value,pdf_page,pdf_url,pdf_sha256,encoded_value,multiplier
002213,FN80,2025-06-30,H1,CNY,50833.44,50,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2,50833.44,1
002213,FN86,2025-06-30,H1,CNY,-11450226.35,50,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2,-11450226.35,1
002213,FN92,2025-06-30,H1,CNY,-11294694.25,51,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2,-11294694.25,1
002213,FN93,2025-06-30,H1,CNY,299816.86,51,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2,299816.86,1
002213,FN305,2025-06-30,H1,CNY,981295.56,50,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2,981295.56,1
002213,FN306,2025-06-30,H1,CNY,1172052.51,50,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2,1172052.51,1
002213,FN439,2025-06-30,instant,CNY,3097985.12,47,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2,309.80,10000
002213,FN581,2025-06-30,H1,CNY,1239989.22,140,https://static.cninfo.com.cn/finalpage/2025-08-22/1224532935.PDF,8a510485c7686c377616f660ba2af88635cf906f5b1a9c4e21d2c4a5721a90e2,124.00,10000
002920,FN80,2025-09-30,9M,CNY,35125347.01,8,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573,35125347.01,1
002920,FN86,2025-09-30,9M,CNY,1899241515.51,9,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573,1899241515.51,1
002920,FN92,2025-09-30,9M,CNY,1891949059.74,9,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573,1891949059.74,1
002920,FN93,2025-09-30,9M,CNY,87329489.73,9,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573,87329489.73,1
002920,FN305,2025-09-30,9M,CNY,22454818.00,8,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573,22454818.00,1
002920,FN306,2025-09-30,9M,CNY,9184117.77,8,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573,9184117.77,1
002920,FN439,2025-09-30,instant,CNY,71547710.98,7,https://static.cninfo.com.cn/finalpage/2025-10-28/1224746815.PDF,57269a24a44891b3fc126d3821d2e39a83972072d6a1003b949910dac6d60573,7154.77,10000
603659,FN56,2025-12-31,instant,CNY,199443189.32,78,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998510.PDF,4e81f5539046ba1eee733100f38442a4abd5037afe3881115ba7f48678fa35b6,199443189.32,1
