code,field,period,period_type,unit,pdf_value,pdf_page,pdf_url,pdf_sha256
002213,FN230,2026-03-31,Q1,CNY,404893615.77,2,https://static.cninfo.com.cn/finalpage/2026-04-24/1225161902.PDF,09dd084592f610406791a2608ecc233f9c82dc942362a1b6c73a8495ab9617f7
002213,FN232,2026-03-31,Q1,CNY,15626112.30,2,https://static.cninfo.com.cn/finalpage/2026-04-24/1225161902.PDF,09dd084592f610406791a2608ecc233f9c82dc942362a1b6c73a8495ab9617f7
002213,FN233,2026-03-31,Q1,CNY,18107567.84,2,https://static.cninfo.com.cn/finalpage/2026-04-24/1225161902.PDF,09dd084592f610406791a2608ecc233f9c82dc942362a1b6c73a8495ab9617f7
002213,FN234,2026-03-31,Q1,CNY,-255211354.02,2,https://static.cninfo.com.cn/finalpage/2026-04-24/1225161902.PDF,09dd084592f610406791a2608ecc233f9c82dc942362a1b6c73a8495ab9617f7
002213,FN230,2026-06-30,H1,CNY,666403935.67,8,https://static.cninfo.com.cn/finalpage/2026-08-21/1225485717.PDF,92b832d2c53efab566b03caf84bccbd6421a24330071fc18d28fa82395646f26
002213,FN232,2026-06-30,H1,CNY,23706322.21,8,https://static.cninfo.com.cn/finalpage/2026-08-21/1225485717.PDF,92b832d2c53efab566b03caf84bccbd6421a24330071fc18d28fa82395646f26
002213,FN233,2026-06-30,H1,CNY,31205471.81,8,https://static.cninfo.com.cn/finalpage/2026-08-21/1225485717.PDF,92b832d2c53efab566b03caf84bccbd6421a24330071fc18d28fa82395646f26
002213,FN234,2026-06-30,H1,CNY,-298235816.01,8,https://static.cninfo.com.cn/finalpage/2026-08-21/1225485717.PDF,92b832d2c53efab566b03caf84bccbd6421a24330071fc18d28fa82395646f26
002920,FN230,2026-03-31,Q1,CNY,6495182292.00,2,https://static.cninfo.com.cn/finalpage/2026-04-28/1225201023.PDF,4b3611c4521a699936b44c82245107ee324a18710e6905bdb347043a15df1593
002920,FN232,2026-03-31,Q1,CNY,461487967.35,2,https://static.cninfo.com.cn/finalpage/2026-04-28/1225201023.PDF,4b3611c4521a699936b44c82245107ee324a18710e6905bdb347043a15df1593
002920,FN233,2026-03-31,Q1,CNY,475908494.76,2,https://static.cninfo.com.cn/finalpage/2026-04-28/1225201023.PDF,4b3611c4521a699936b44c82245107ee324a18710e6905bdb347043a15df1593
002920,FN234,2026-03-31,Q1,CNY,1115825726.19,2,https://static.cninfo.com.cn/finalpage/2026-04-28/1225201023.PDF,4b3611c4521a699936b44c82245107ee324a18710e6905bdb347043a15df1593
002920,FN230,2026-06-30,H1,CNY,14900950597.04,8,https://static.cninfo.com.cn/finalpage/2026-08-14/1225472735.PDF,255395c61411f0ef72c783b22146aec50d5b4a69964e441f21868b7b166ad7d5
002920,FN232,2026-06-30,H1,CNY,1244645323.07,8,https://static.cninfo.com.cn/finalpage/2026-08-14/1225472735.PDF,255395c61411f0ef72c783b22146aec50d5b4a69964e441f21868b7b166ad7d5
002920,FN233,2026-06-30,H1,CNY,1225358704.68,8,https://static.cninfo.com.cn/finalpage/2026-08-14/1225472735.PDF,255395c61411f0ef72c783b22146aec50d5b4a69964e441f21868b7b166ad7d5
002920,FN234,2026-06-30,H1,CNY,1062812506.80,8,https://static.cninfo.com.cn/finalpage/2026-08-14/1225472735.PDF,255395c61411f0ef72c783b22146aec50d5b4a69964e441f21868b7b166ad7d5
002213,FN230,2025-12-31,FY,CNY,1222356156.91,8,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002213,FN232,2025-12-31,FY,CNY,-15621781.98,8,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
002213,FN233,2025-12-31,FY,CNY,-9370737.06,8,https://static.cninfo.com.cn/finalpage/2026-03-06/1224998168.PDF,18650f336dd525d1c4f0fa32fabe158f64c7bdfaa9f9faf6dbf0145236228435
