code,scenario,year,revenue,growth,ebit_margin,ebit,tax_rate,nopat,wc_balance,wc_change,operating_cash_increase,da,gross_longlived_investment,net_longlived_investment,reinvestment,fcff,discount_factor,pv,information_as_of,valuation_date,status
300866,cautious,1,36307808983.040000,0.060000,0.092450,3356660468.607526,0.210000,2651761770.199946,4719751998.728960,438481091.608960,61654769.971200,274471149.605464,726606129.394264,452134979.788800,952270841.368960,1699490928.830986,1.110000,1531072908.856744,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,cautious,2,38486277522.022400,0.060000,0.090588,3486378469.885959,0.220000,2719375206.511048,5195438246.065363,475686247.336403,65354056.169472,290939418.581792,770202497.157920,479263078.576128,1020303382.082003,1699071824.429045,1.232100,1379004808.399517,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,cautious,3,40795454173.343744,0.060000,0.088725,3619578653.630817,0.230000,2787075563.295729,5711215735.886711,515777489.821347,69275299.539640,308395783.696699,816414646.987395,508018863.290696,1093071652.651683,1694003910.644046,1.367631,1238641059.353032,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,cautious,4,43243181423.744369,0.060000,0.086863,3756211896.933469,0.240000,2854721041.669436,6270182946.800784,558967210.914074,73431817.512019,326899530.718501,865399525.806639,538499995.088137,1170899023.514230,1683822018.155206,1.518070,1109185718.306180,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,cautious,5,45837772309.169031,0.060000,0.085000,3896210646.279368,0.250000,2922157984.709526,6875665846.375355,605482899.574570,77837726.562740,346513502.561611,917323497.355037,570809994.793426,1254130620.930736,1668027363.778790,1.685058,989893054.272540,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,cautious,6,48129660924.627482,0.050000,0.085000,4091021178.593336,0.250000,3068265883.945002,7219449138.694122,343783292.318768,68756658.463754,363839177.689692,868054673.090551,504215495.400859,916755446.183381,2151510437.761621,1.870415,1150285339.298636,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,cautious,7,50054847361.612582,0.040000,0.085000,4254662025.737069,0.250000,3190996519.302802,7508227104.241887,288777965.547765,57755593.109553,378392744.797279,801933760.934001,423541016.136722,770074574.794040,2420921944.508762,2.076160,1166057416.682764,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,cautious,8,51556492782.460959,0.030000,0.085000,4382301886.509182,0.250000,3286726414.881886,7733473917.369144,225246813.127257,45049362.625451,389744527.141198,720106519.727841,330361992.586643,600658168.339351,2686068246.542535,2.304538,1165556183.039571,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,cautious,9,52845405102.022483,0.025000,0.085000,4491859433.671911,0.250000,3368894575.253933,7926810765.303372,193336847.934229,38667369.586846,399488140.319728,683048850.623263,283560710.303535,515564927.824610,2853329647.429324,2.558037,1115437240.263310,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,cautious,10,53902313204.062933,0.020000,0.085000,4581696622.345349,0.250000,3436272466.759012,8085346980.609440,158536215.306067,31707243.061213,407477903.126122,639997685.575021,232519782.448899,422763240.816180,3013509225.942832,2.839421,1061311176.020724,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,central,1,38362967982.080000,0.120000,0.095450,3661749021.720230,0.210000,2892781727.158982,4756729964.349440,475459057.229440,82206359.961600,290007252.413320,1084668732.042120,794661479.628800,1352326896.819840,1540454830.339142,1.090000,1413261312.237745,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,central,2,42966524139.929600,0.120000,0.096588,4150032281.743233,0.220000,3237025179.759722,5284648894.251418,527918929.901978,92071123.156992,324808122.702919,1214828979.887175,890020857.184256,1510010910.243226,1727014269.516496,1.188100,1453593358.737898,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,central,3,48122507036.721152,0.120000,0.097725,4702774338.258986,0.230000,3621136240.459419,5870771455.843238,586122561.591820,103119657.935831,363785097.427269,1360608457.473636,996823360.046367,1686065579.574018,1935070660.885401,1.295029,1494229597.086553,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,central,4,53897207881.127690,0.120000,0.098863,5328414023.481417,0.240000,4049594657.845877,6521464488.139875,650693032.296637,115494016.888131,407439309.118541,1523881472.370472,1116442163.251931,1882629212.436698,2166965445.409178,1.411582,1535132953.034985,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,central,5,60364872826.863013,0.120000,0.100000,6036487282.686301,0.250000,4527365462.014726,7243784739.223562,722320251.083687,129353298.914706,456332026.212766,1706747249.054929,1250415222.842162,2102088772.840556,2425276689.174170,1.538624,1576263440.752030,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,central,6,66401360109.549314,0.100000,0.100000,6640136010.954931,0.250000,4980102008.216199,7968163213.145918,724378473.922356,120729745.653726,501965228.834043,1669019436.820061,1167054207.986018,2012162427.562100,2967939580.654098,1.677100,1769685400.095641,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,central,7,71713468918.313260,0.080000,0.100000,7171346891.831326,0.250000,5378510168.873494,8605616270.197591,637453057.051673,106242176.175279,542122447.140766,1569130150.168462,1027007703.027696,1770702936.254648,3607807232.618846,1.828039,1973594105.035909,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,central,8,76016277053.412055,0.060000,0.100000,7601627705.341206,0.250000,5701220779.005904,9121953246.409447,516336976.211855,86056162.701976,574649793.969212,1406526033.421646,831876239.452434,1434269378.366265,4266951400.639639,1.992563,2141439024.983524,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,central,9,79056928135.548537,0.040000,0.100000,7905692813.554854,0.250000,5929269610.166140,9486831376.265824,364878129.856378,60813021.642730,597635785.727981,1185494994.941034,587859209.213053,1013550360.712161,4915719249.453980,2.171893,2263333698.751635,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,central,10,81428635979.614993,0.030000,0.100000,8142863597.961499,0.250000,6107147698.471125,9771436317.553799,284604941.287975,47434156.881329,615564859.299820,1074095042.486002,458530183.186182,790569281.355485,5316578417.115639,2.367364,2245780179.098023,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,expansive,1,40418126981.120000,0.180000,0.098450,3979168528.827174,0.210000,3143543137.773467,4849882275.943680,568611368.823680,61654769.971200,305543355.221177,1388905741.857977,1083362386.636800,1713628525.431680,1429914612.341787,1.080000,1323995011.427581,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
