code,scenario,year,revenue,growth,ebit_margin,nopat,inventory_balance,inventory_increase,other_wc_balance,other_wc_change,operating_cash_increase,da,gross_longlived_investment,net_longlived_investment,reinvestment,fcff,pv,information_as_of,valuation_date,status
600519,cautious,1,170152009728.000000,0.000000,0.636287,81199124103.021100,61470346920.755200,153136808.755200,-12522179456.862000,3130544864.215500,0.000000,2349792005.097656,2349792005.097656,0.000000,3283681672.970700,77915442430.050400,70832220390.954909,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,cautious,2,170152009728.000000,0.000000,0.627215,80041444171.665825,61777233085.500621,306886164.745421,-9391634592.646500,3130544864.215500,0.000000,2349792005.097656,2349792005.097656,0.000000,3437431028.960921,76604013142.704904,63309101770.830499,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,cautious,3,170152009728.000000,0.000000,0.618143,78883764240.310550,62239403649.607225,462170564.106604,-6261089728.431000,3130544864.215500,0.000000,2349792005.097656,2349792005.097656,0.000000,3592715428.322104,75291048811.988446,56567279347.850072,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,cautious,4,170152009728.000000,0.000000,0.609072,77726084308.955275,62859328432.928882,619924783.321658,-3130544864.215500,3130544864.215500,0.000000,2349792005.097656,2434868009.961656,85076004.864000,3835545652.401158,73890538656.554117,50468232126.599356,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,cautious,5,170152009728.000000,0.000000,0.600000,76568404377.600000,63640433659.914171,781105226.985289,0.000000,3130544864.215500,0.000000,2349792005.097656,2520284318.845112,170492313.747456,4082142404.948245,72486261972.651755,45008265687.671455,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,cautious,6,170492313747.456000,0.002000,0.600000,76721541186.355200,64429349939.169313,788916279.255142,0.000000,0.000000,10209120.583680,2354491589.107852,2611253013.611520,256761424.503669,1055886824.342490,75665654362.012710,42711289287.816061,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,cautious,7,171174283002.445824,0.004000,0.600000,77028427351.100621,65226155381.217006,796805442.047693,0.000000,0.000000,20459077.649695,2363909555.464283,2708312212.865204,344402657.400921,1161667177.098309,75866760174.002312,38931643887.151353,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,cautious,8,172201328700.460499,0.006000,0.600000,77490597915.207225,66030928877.685176,804773496.468170,0.000000,0.000000,30811370.940440,2378093012.797069,2812040361.122229,433947348.325160,1269532215.733771,76221065699.473454,35557689676.255333,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,cautious,9,173578939330.064183,0.008000,0.600000,78110522698.528882,66843750109.118028,812821231.432852,0.000000,0.000000,41328318.888111,2397117756.899445,2835404578.707857,438286821.808412,1292436372.129374,76818086326.399508,32578367458.957981,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,cautious,10,175314728723.364825,0.010000,0.600000,78891627925.514171,67664699552.865208,820949443.747180,0.000000,0.000000,52073681.799019,2421088934.468440,2863758624.494936,442669690.026496,1315692815.572696,77575935109.941475,29908881202.858740,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,central,1,177026150921.011200,0.040400,0.646287,85807264848.690737,64029194226.472015,2711984114.472015,-14798337016.129337,854387304.948163,137482823.860224,2444723602.103602,3932881902.042820,1488158299.939218,5192012543.219620,80615252305.471117,74643752134.695479,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,central,2,184178007418.220052,0.040400,0.647215,89402103415.528951,66523962510.913389,2494768284.441375,-13849367466.413472,948969549.715865,143037129.944177,2543490435.628587,4091770330.885349,1548279895.256762,5135054859.358179,84267048556.170772,72245411999.460538,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,central,3,191618798917.916143,0.040400,0.648143,93147353753.172253,68773268377.176370,2249305866.262981,-12799567923.336320,1049799543.077152,148815829.993922,2646247449.227982,4257077852.253118,1610830403.025136,5058751642.359190,88088602110.813063,69927572421.960784,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,central,4,199360198394.199955,0.040400,0.649072,97049301780.986445,70750843781.030179,1977575403.853809,-11642340193.574553,1157227729.761767,154827989.525676,2753155846.176792,4259813687.550134,1506657841.373341,4796288964.514594,92253012816.471851,67808718430.520635,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,central,5,207414350409.325633,0.040400,0.650000,101114495824.546246,72432899777.357927,1682055996.327748,-10370717520.466282,1271622673.108271,161083040.302514,2864383342.362335,4250365722.607543,1385982380.245208,4500744089.983741,96613751734.562505,65753696032.933865,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,central,6,214947639616.192340,0.036320,0.650000,104786974312.893766,74148596893.612230,1715697116.254303,-10747381980.809617,-376664460.343335,150665784.137334,2968417745.356935,4218032115.503035,1249614370.146100,2739312810.194402,102047661502.699364,64307336773.449434,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,central,7,221877551517.418381,0.032240,0.650000,108165306364.741461,75898607952.191619,1750011058.579389,-11093877575.870919,-346495595.061302,138598238.024521,3064119533.467242,4162772535.608247,1098653002.141005,2640766703.683613,105524539661.057848,61572555356.685385,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,central,8,228125623368.148883,0.028160,0.650000,111211241391.972580,77683619231.942596,1785011279.750977,-11406281168.407444,-312403592.536525,124961437.014610,3150405139.529680,4084880693.045096,934475553.515416,2532044677.744478,108679196714.228103,58715988377.366830,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
