code,announcement_id,available_at,announcement_time_precision,report_period,title,document_locator,pdf_sha256
300866,1223379835,2025-04-29 16:00:00+00,date,2025-03-31,2025年一季度报告,https://static.cninfo.com.cn/finalpage/2025-04-29/1223379835.PDF,
300866,1223379868,2025-04-29 16:00:00+00,date,2024-12-31,2024年年度报告摘要,https://static.cninfo.com.cn/finalpage/2025-04-29/1223379868.PDF,
300866,1223379891,2025-04-29 16:00:00+00,date,2024-12-31,2024年年度报告,https://static.cninfo.com.cn/finalpage/2025-04-29/1223379891.PDF,
300866,1224614835,2025-08-29 16:00:00+00,date,2025-06-30,2025年半年度报告,https://static.cninfo.com.cn/finalpage/2025-08-29/1224614835.PDF,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674
300866,1224614841,2025-08-29 16:00:00+00,date,2025-06-30,2025年半年度报告摘要,https://static.cninfo.com.cn/finalpage/2025-08-29/1224614841.PDF,
300866,1224768089,2025-10-30 16:00:00+00,date,2025-09-30,2025年三季度报告,https://static.cninfo.com.cn/finalpage/2025-10-30/1224768089.PDF,
300866,1225090973,2026-04-10 16:00:00+00,date,2025-12-31,2025年年度报告,https://static.cninfo.com.cn/finalpage/2026-04-10/1225090973.PDF,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202
300866,1225091123,2026-04-10 16:00:00+00,date,2025-12-31,2025年年度报告摘要,https://static.cninfo.com.cn/finalpage/2026-04-10/1225091123.PDF,
300866,1225260221,2026-04-30 16:00:00+00,date,2026-03-31,2026年一季度报告,https://static.cninfo.com.cn/finalpage/2026-04-30/1225260221.PDF,
300866,1225533053,2026-08-31 16:00:00+00,date,2026-06-30,2026年半年度报告摘要,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533053.PDF,
300866,1225533054,2026-08-31 16:00:00+00,date,2026-06-30,2026年半年度报告,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1
