code,item,value,pdf_model_value,difference,information_as_of,valuation_date,status
600519,revenue_ttm,170152009728.000000,170152009062.430000,665.570000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,ebit_ttm,109809071976.500000,109809074377.120000,-2400.620000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,da_ttm,2349792005.097656,2349791950.510000,54.587656,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,inventory,61317210112.000000,61317208371.300000,1740.700000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,other_wc,-15652724127.867500,-15652724111.200000,-16.667500,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,financial_gross,200745434429.320000,200745434560.400000,-131.080000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,risk_assets,4064709360.370000,4064709362.910000,-2.540000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,external_deposits,25426316668.170000,25426316668.170000,0.000000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,finance_book_equity,11941000000.000000,11941000000.000000,0.000000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,income_tax_payable,2909272618.860000,2909272618.860000,0.000000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,lease_debt,243684856.187500,243684868.060000,-11.872500,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,shares,1250081664.000000,1250081601.000000,63.000000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,operating_minority_fraction_proxy,0.029602,0.029602,-0.000000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,revenue_ttm,34252649984.000000,34252649350.860000,633.140000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,ebit_ttm,3230457214.110000,3230457170.030000,44.080000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,opening_wc,4281270914.710000,4281271816.410000,-901.700000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,da_ttm,258935036.408125,258934931.320000,105.088125,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,cash_equivalents,2992257024.000000,2992257022.560000,1.440000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,other_cash_candidate,628686097.890000,628686194.240000,-96.350000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,financial_debt_assets,2696234728.830000,2696234728.830000,0.000000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,risky_investments,2029765985.280000,2029765987.580000,-2.300000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,minority,161250048.000000,161250043.780000,4.220000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,debt,3066915800.675000,3066915772.710000,27.965000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,other_claims,873696826.440000,873696826.440000,0.000000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,shares,536276384.000000,536276371.000000,13.000000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,convertible_debt,1109149580.690000,1109149604.090000,-23.400000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,convertible_equity_book,4494798.360000,4494798.360000,0.000000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,convertible_face,1104660800.000000,1104660800.000000,0.000000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
300866,conversion_price,108.860000,108.860000,0.000000,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
