instrument_id,symbol,tdx_node_code,tdx_node_name,damodaran_industry
25750,sh600968,X110201,油田服务,Oilfield Svcs/Equip.
26413,sh603619,X110201,油田服务,Oilfield Svcs/Equip.
29009,sz002207,X110201,油田服务,Oilfield Svcs/Equip.
29399,sz002629,X110201,油田服务,Oilfield Svcs/Equip.
29576,sz002828,X110201,油田服务,Oil/Gas (Production and Exploration)
44521,sz300191,X110201,油田服务,Oilfield Svcs/Equip.
25196,sh600223,X120102,化妆品,Household Products
26400,sh603605,X120102,化妆品,Household Products
26605,sh603983,X120102,化妆品,Household Products
28900,sz002094,X120102,化妆品,Household Products
44465,sz300132,X120102,化妆品,Chemical (Basic)
45036,sz300740,X120102,化妆品,Household Products
45146,sz300856,X120102,化妆品,Chemical (Specialty)
45239,sz300955,X120102,化妆品,Packaging & Container
45241,sz300957,X120102,化妆品,Household Products
45596,sz301371,X120102,化妆品,Healthcare Products
26985,sh688295,X120205,碳纤维,Chemical (Basic)
44999,sz300699,X120205,碳纤维,Chemical (Basic)
45069,sz300777,X120205,碳纤维,Chemical (Basic)
25076,sh600063,X120306,有机化工原料,Chemical (Basic)
25233,sh600273,X120306,有机化工原料,Chemical (Basic)
25342,sh600423,X120306,有机化工原料,Chemical (Specialty)
25481,sh600610,X120306,有机化工原料,Chemical (Basic)
25636,sh600800,X120306,有机化工原料,Electronics (General)
25739,sh600955,X120306,有机化工原料,Chemical (Basic)
26114,sh603125,X120306,有机化工原料,Chemical (Basic)
26187,sh603217,X120306,有机化工原料,Chemical (Basic)
26226,sh603276,X120306,有机化工原料,Chemical (Basic)
26473,sh603722,X120306,有机化工原料,Chemical (Basic)
26538,sh603867,X120306,有机化工原料,Chemical (Basic)
26586,sh603948,X120306,有机化工原料,Chemical (Basic)
26786,sh688065,X120306,有机化工原料,Chemical (Specialty)
29199,sz002408,X120306,有机化工原料,Chemical (Basic)
29240,sz002455,X120306,有机化工原料,Chemical (Basic)
29253,sz002469,X120306,有机化工原料,Oilfield Svcs/Equip.
29418,sz002648,X120306,有机化工原料,Chemical (Basic)
29720,sz002986,X120306,有机化工原料,Chemical (Basic)
44422,sz300082,X120306,有机化工原料,Chemical (Specialty)
44942,sz300641,X120306,有机化工原料,Chemical (Specialty)
45019,sz300721,X120306,有机化工原料,Chemical (Basic)
45214,sz300927,X120306,有机化工原料,Chemical (Specialty)
45614,sz301393,X120306,有机化工原料,Drugs (Pharmaceutical)
26103,sh603113,X120399,其他化学原料,Steel
26584,sh603938,X120399,其他化学原料,Chemical (Basic)
27301,sh688758,X120399,其他化学原料,Heathcare Information and Technology
28494,sz000691,X120399,其他化学原料,Chemical (Specialty)
28707,sz001217,X120399,其他化学原料,Chemical (Basic)
28777,sz001335,X120399,其他化学原料,Chemical (Specialty)
28929,sz002125,X120399,其他化学原料,Chemical (Basic)
45338,sz301059,X120399,其他化学原料,Chemical (Basic)
45347,sz301069,X120399,其他化学原料,Chemical (Specialty)
45501,sz301256,X120399,其他化学原料,Chemical (Basic)
45540,sz301300,X120399,其他化学原料,Chemical (Basic)
45598,sz301373,X120399,其他化学原料,Chemical (Specialty)
25201,sh600230,X120401,聚氨酯,Chemical (Specialty)
25258,sh600309,X120401,聚氨酯,Chemical (Specialty)
26041,sh603041,X120401,聚氨酯,Chemical (Basic)
26163,sh603192,X120401,聚氨酯,Chemical (Basic)
28967,sz002165,X120401,聚氨酯,Chemical (Basic)
45138,sz300848,X120401,聚氨酯,Chemical (Basic)
26057,sh603062,X120402,涂料油墨,Chemical (Specialty)
26100,sh603110,X120402,涂料油墨,Chemical (Specialty)
26519,sh603823,X120402,涂料油墨,Chemical (Basic)
26845,sh688129,X120402,涂料油墨,Chemical (Specialty)
26866,sh688157,X120402,涂料油墨,Chemical (Specialty)
27175,sh688571,X120402,涂料油墨,Chemical (Specialty)
28420,sz000565,X120402,涂料油墨,Chemical (Basic)
29114,sz002319,X120402,涂料油墨,Chemical (Specialty)
44552,sz300225,X120402,涂料油墨,Chemical (Specialty)
44828,sz300522,X120402,涂料油墨,Chemical (Specialty)
44965,sz300665,X120402,涂料油墨,Chemical (Specialty)
45051,sz300758,X120402,涂料油墨,Chemical (Specialty)
45317,sz301036,X120402,涂料油墨,Chemical (Specialty)
45318,sz301037,X120402,涂料油墨,Chemical (Specialty)
45467,sz301209,X120402,涂料油墨,Chemical (Specialty)
25290,sh600352,X120404,纺织化学品,Chemical (Specialty)
26145,sh603172,X120404,纺织化学品,Chemical (Specialty)
26159,sh603188,X120404,纺织化学品,Chemical (Specialty)
26500,sh603790,X120404,纺织化学品,Chemical (Specialty)
26603,sh603980,X120404,纺织化学品,Chemical (Specialty)
26723,sh605566,X120404,纺织化学品,Chemical (Specialty)
28864,sz002054,X120404,纺织化学品,Chemical (Specialty)
29227,sz002440,X120404,纺织化学品,Chemical (Specialty)
44407,sz300067,X120404,纺织化学品,Chemical (Specialty)
44444,sz300107,X120404,纺织化学品,Chemical (Specialty)
45089,sz300798,X120404,纺织化学品,Chemical (Specialty)
45194,sz300905,X120404,纺织化学品,Chemical (Basic)
45450,sz301190,X120404,纺织化学品,Chemical (Basic)
45696,sz301585,X120404,纺织化学品,Chemical (Specialty)
45720,sz301618,X120404,纺织化学品,Chemical (Specialty)
25250,sh600299,X120406,食品助剂,Chemical (Basic)
26072,sh603079,X120406,食品助剂,Drugs (Pharmaceutical)
26596,sh603968,X120406,食品助剂,Chemical (Specialty)
26627,sh605016,X120406,食品助剂,Food Processing
26808,sh688089,X120406,食品助剂,Chemical (Specialty)
27233,sh688639,X120406,食品助剂,Chemical (Basic)
28814,sz002001,X120406,食品助剂,Chemical (Specialty)
29337,sz002562,X120406,食品助剂,Chemical (Specialty)
29372,sz002597,X120406,食品助剂,Chemical (Diversified)
