code,info_code,broker,provider_date,printed_report_date,origin_year,target_year,value,unit,period_basis,source_page
300866,AP202308311596906163,国金证券,2023-08-31,2023-08-30,2023,2023,17163,million_CNY,fiscal_year,1
300866,AP202308311596906163,国金证券,2023-08-31,2023-08-30,2023,2024,19518,million_CNY,fiscal_year,1
300866,AP202308311596906163,国金证券,2023-08-31,2023-08-30,2023,2025,22003,million_CNY,fiscal_year,1
300866,AP202408311639673106,开源证券,2024-08-31,2024-08-31,2024,2024,23119,million_CNY,fiscal_year,1
300866,AP202408311639673106,开源证券,2024-08-31,2024-08-31,2024,2025,28708,million_CNY,fiscal_year,1
300866,AP202408311639673106,开源证券,2024-08-31,2024-08-31,2024,2026,33932,million_CNY,fiscal_year,1
300866,AP202508311737221901,国信证券,2025-08-31,2025-08-29,2025,2025,32050.69,million_CNY,fiscal_year,1
300866,AP202508311737221901,国信证券,2025-08-31,2025-08-29,2025,2026,39603.63,million_CNY,fiscal_year,1
300866,AP202508311737221901,国信证券,2025-08-31,2025-08-29,2025,2027,47112.07,million_CNY,fiscal_year,1
002032,AP202308311596883311,信达证券,2023-08-31,2023-08-31,2023,2023,20954,million_CNY,fiscal_year,2
002032,AP202308311596883311,信达证券,2023-08-31,2023-08-31,2023,2024,23031,million_CNY,fiscal_year,2
002032,AP202308311596883311,信达证券,2023-08-31,2023-08-31,2023,2025,25327,million_CNY,fiscal_year,2
002032,AP202407251638296815,华安证券,2024-07-25,2024-07-25,2024,2024,22894,million_CNY,fiscal_year,2
002032,AP202407251638296815,华安证券,2024-07-25,2024-07-25,2024,2025,24360,million_CNY,fiscal_year,2
002032,AP202407251638296815,华安证券,2024-07-25,2024-07-25,2024,2026,25652,million_CNY,fiscal_year,2
002032,AP202508301736875870,国金证券,2025-08-30,2025-08-29,2025,2025,23742,million_CNY,fiscal_year,1
002032,AP202508301736875870,国金证券,2025-08-30,2025-08-29,2025,2026,25191,million_CNY,fiscal_year,1
002032,AP202508301736875870,国金证券,2025-08-30,2025-08-29,2025,2027,26751,million_CNY,fiscal_year,1
